#      time         order        tair      
  0.000000000       1.0000      -7.2000    
 0.4000000000       1.0000      -7.2000    
 0.8000000000       1.0000      -7.2000    
 0.9999999986       1.0000      -7.2000    
  1.000000001       1.0000      -7.2000    
  1.320000001       1.0000      -7.0400    
  1.640000001       1.0000      -6.8800    
  1.999999999       1.0000      -6.7000    
  2.000000001       1.0000      -6.7000    
  2.256000001       1.0000      -6.7256    
  2.512000001       1.0000      -6.7512    
  2.999999999       1.0000      -6.8000    
  3.000000001       1.0000      -6.8000    
  3.204800001       1.0000      -6.9024    
  3.409600001       1.0000      -7.0048    
  3.819200001       1.0000      -7.2096    
  3.999999999       1.0000      -7.3000    
  4.000000001       1.0000      -7.3000    
  4.327680001       1.0000      -7.2672    
  4.655360001       1.0000      -7.2345    
  4.999999999       1.0000      -7.2000    
  5.000000001       1.0000      -7.2000    
  5.038365838       1.0000      -7.1923    
  5.076731675       1.0000      -7.1847    
  5.104449597       1.0000      -7.1791    
  5.125821266       1.0000      -7.1748    
  5.149792543       1.0000      -7.1700    
  5.169222996       1.0000      -7.1662    
  5.188945411       1.0000      -7.1622    
  5.207136413       1.0000      -7.1586    
  5.225565452       1.0000      -7.1549    
  5.243693695       1.0000      -7.1513    
  5.262224369       1.0000      -7.1476    
  5.281870193       1.0000      -7.1436    
  5.303332979       1.0000      -7.1393    
  5.327114068       1.0000      -7.1346    
  5.353775991       1.0000      -7.1292    
  5.384294426       1.0000      -7.1231    
  5.419694227       1.0000      -7.1161    
  5.461760222       1.0000      -7.1076    
  5.512994686       1.0000      -7.0974    
  5.577875623       1.0000      -7.0844    
  5.662925412       1.0000      -7.0674    
  5.784120998       1.0000      -7.0432    
  5.968684679       1.0000      -7.0063    
  5.999999999       1.0000      -7.0000    
  6.000000001       1.0000      -7.0000    
  6.030692671       1.0000      -7.0430    
  6.061385340       1.0000      -7.0859    
  6.122770680       1.0000      -7.1719    
  6.245541358       1.0000      -7.3438    
  6.491082714       1.0000      -7.6875    
  6.581254047       1.0000      -7.8138    
  6.581254049       1.0000      -7.8138    
  6.777687135       1.0000      -8.0888    
  6.974120220       1.0000      -8.3638    
  6.999999999       1.0000      -8.4000    
  7.000000001       1.0000      -8.4000    
  7.031429295       1.0000      -8.3749    
  7.062858589       1.0000      -8.3497    
  7.093537878       1.0000      -8.3252    
  7.124062429       1.0000      -8.3008    
  7.161624787       1.0000      -8.2707    
  7.225495444       1.0000      -8.2196    
  7.298669191       1.0000      -8.1611    
  7.417409281       1.0000      -8.0661    
  7.600405880       1.0000      -7.9197    
  7.921425865       1.0000      -7.6629    
  7.999999999       1.0000      -7.6000    
  8.000000001       1.0000      -7.6000    
  8.025143436       1.0000      -7.5598    
  8.050286871       1.0000      -7.5195    
  8.100573741       1.0000      -7.4391    
  8.201147481       1.0000      -7.2782    
  8.402294960       1.0000      -6.9563    
  8.804589918       1.0000      -6.3127    
  8.999999999       1.0000      -6.0000    
  9.000000001       1.0000      -6.0000    
  9.321835968       1.0000      -5.6782    
  9.643671935       1.0000      -5.3563    
  9.999999999       1.0000      -5.0000    
  10.00000000       1.0000      -5.0000    
  10.25746877       1.0000      -4.6138    
  10.51493755       1.0000      -4.2276    
  11.00000000       1.0000      -3.5000    
  11.00000000       1.0000      -3.5000    
  11.20597502       1.0000      -3.2322    
  11.41195004       1.0000      -2.9645    
  11.82390008       1.0000      -2.4289    
  12.00000000       1.0000      -2.2000    
  12.00000000       1.0000      -2.2000    
  12.12532225       1.0000      -1.9744    
  12.25064449       1.0000      -1.7488    
  12.26190577       1.0000      -1.7286    
  12.28442833       1.0000      -1.6880    
  12.28442834       1.0000      -1.6880    
  12.38468613       1.0000      -1.5076    
  12.48494393       1.0000      -1.3271    
  12.68545953       1.0000     -0.96617    
  13.00000000       1.0000     -0.40000    
  13.00000000       1.0000     -0.40000    
  13.16041248       1.0000     -0.35188    
  13.32082495       1.0000     -0.30375    
  13.59969625       1.0000     -0.22009    
  13.59969626       1.0000     -0.22009    
  13.72802624       1.0000     -0.18159    
  13.85635622       1.0000     -0.14309    
  14.00000000       1.0000     -0.10000    
  14.00000000       1.0000     -0.10000    
  14.10266399       1.0000     -7.94672E-02
  14.20532797       1.0000     -5.89344E-02
  14.41065594       1.0000     -1.78688E-02
  14.54000000       1.0000      8.00000E-03
  14.54000000       1.0000      8.00000E-03
  14.70426238       1.0000      4.08525E-02
  14.86852475       1.0000      7.37050E-02
  15.00000000       1.0000      0.10000    
  15.00000000       1.0000      0.10000    
  15.08000000       1.0000      6.00000E-02
  15.16000000       1.0000      2.00000E-02
  15.24000000       1.0000     -2.00000E-02
  15.24000000       1.0000     -2.00000E-02
  15.30400000       1.0000     -5.20000E-02
  15.36800000       1.0000     -8.40000E-02
  15.49600000       1.0000     -0.14800    
  15.75200000       1.0000     -0.27600    
  16.00000000       1.0000     -0.40000    
  16.00000000       1.0000     -0.40000    
  16.20480000       1.0000     -0.35904    
  16.40960000       1.0000     -0.31808    
  16.81920000       1.0000     -0.23616    
  17.00000000       1.0000     -0.20000    
  17.00000000       1.0000     -0.20000    
  17.32768000       1.0000     -0.20000    
  17.65536000       1.0000     -0.20000    
  18.00000000       1.0000     -0.20000    
  18.00000000       1.0000     -0.20000    
  18.05242880       1.0000     -0.21049    
  18.10485760       1.0000     -0.22097    
  18.12985809       1.0000     -0.22597    
  18.15363575       1.0000     -0.23073    
  18.17891094       1.0000     -0.23578    
  18.20539863       1.0000     -0.24108    
  18.23523229       1.0000     -0.24705    
  18.26876143       1.0000     -0.25375    
  18.30805707       1.0000     -0.26161    
