#      time         order        pmv_1        ppd_1     
  0.000000000       1.0000       0.0000       0.0000    
 0.4000000000       1.0000       0.0000       0.0000    
 0.8000000000       1.0000       0.0000       0.0000    
 0.9999999986       1.0000       0.0000       0.0000    
  1.000000001       1.0000       0.0000       0.0000    
  1.320000001       1.0000       0.0000       0.0000    
  1.640000001       1.0000       0.0000       0.0000    
  1.999999999       1.0000       0.0000       0.0000    
  2.000000001       1.0000       0.0000       0.0000    
  2.256000001       1.0000       0.0000       0.0000    
  2.512000001       1.0000       0.0000       0.0000    
  2.999999999       1.0000       0.0000       0.0000    
  3.000000001       1.0000       0.0000       0.0000    
  3.204800001       1.0000       0.0000       0.0000    
  3.409600001       1.0000       0.0000       0.0000    
  3.819200001       1.0000       0.0000       0.0000    
  3.999999999       1.0000       0.0000       0.0000    
  4.000000001       1.0000       0.0000       0.0000    
  4.327680001       1.0000       0.0000       0.0000    
  4.655360001       1.0000       0.0000       0.0000    
  4.999999999       1.0000       0.0000       0.0000    
  5.000000001       1.0000       0.0000       0.0000    
  5.038365838       1.0000       0.0000       0.0000    
  5.076731675       1.0000       0.0000       0.0000    
  5.104449597       1.0000       0.0000       0.0000    
  5.125821266       1.0000       0.0000       0.0000    
  5.149792543       1.0000       0.0000       0.0000    
  5.169222996       1.0000       0.0000       0.0000    
  5.188945411       1.0000       0.0000       0.0000    
  5.207136413       1.0000       0.0000       0.0000    
  5.225565452       1.0000       0.0000       0.0000    
  5.243693695       1.0000       0.0000       0.0000    
  5.262224369       1.0000       0.0000       0.0000    
  5.281870193       1.0000       0.0000       0.0000    
  5.303332979       1.0000       0.0000       0.0000    
  5.327114068       1.0000       0.0000       0.0000    
  5.353775991       1.0000       0.0000       0.0000    
  5.384294426       1.0000       0.0000       0.0000    
  5.419694227       1.0000       0.0000       0.0000    
  5.461760222       1.0000       0.0000       0.0000    
  5.512994686       1.0000       0.0000       0.0000    
  5.577875623       1.0000       0.0000       0.0000    
  5.662925412       1.0000       0.0000       0.0000    
  5.784120998       1.0000       0.0000       0.0000    
  5.968684679       1.0000     -0.90190       22.176    
  5.999999999       1.0000     -0.90035       22.117    
  6.000000001       1.0000     -0.89996       22.102    
  6.030692671       1.0000     -0.89998       22.103    
  6.061385340       1.0000     -0.90002       22.105    
  6.122770680       1.0000     -0.90015       22.109    
  6.245541358       1.0000     -0.90037       22.118    
  6.491082714       1.0000     -0.90070       22.130    
  6.581254047       1.0000     -0.90078       22.134    
  6.581254049       1.0000     -0.90078       22.134    
  6.777687135       1.0000     -0.90084       22.136    
  6.974120220       1.0000     -0.90069       22.130    
  6.999999999       1.0000     -0.90066       22.129    
  7.000000001       1.0000     -0.90066       22.129    
  7.031429295       1.0000     -0.62437       13.180    
  7.062858589       1.0000     -0.54833       11.294    
  7.093537878       1.0000     -0.57259       11.868    
  7.124062429       1.0000     -0.61920       13.044    
  7.161624787       1.0000     -0.64939       13.856    
  7.225495444       1.0000     -0.64839       13.828    
  7.298669191       1.0000     -0.64018       13.604    
  7.417409281       1.0000     -0.63594       13.489    
  7.600405880       1.0000     -0.63245       13.395    
  7.921425865       1.0000     -0.62679       13.244    
  7.999999999       1.0000     -0.62546       13.209    
  8.000000001       1.0000     -0.62546       13.209    
  8.025143436       1.0000     -0.62506       13.198    
  8.050286871       1.0000     -0.62464       13.187    
  8.100573741       1.0000     -0.62378       13.164    
  8.201147481       1.0000     -0.62209       13.120    
  8.402294960       1.0000     -0.61888       13.035    
  8.804589918       1.0000     -0.61267       12.873    
  8.999999999       1.0000     -0.60978       12.799    
  9.000000001       1.0000     -0.60978       12.799    
  9.321835968       1.0000     -0.60533       12.684    
  9.643671935       1.0000     -0.60088       12.571    
  9.999999999       1.0000     -0.59588       12.444    
  10.00000000       1.0000     -0.59588       12.444    
  10.25746877       1.0000     -0.59209       12.349    
  10.51493755       1.0000     -0.58815       12.250    
  11.00000000       1.0000     -0.58115       12.077    
  11.00000000       1.0000     -0.58115       12.077    
  11.20597502       1.0000     -0.57817       12.004    
  11.41195004       1.0000     -0.57515       11.930    
  11.82390008       1.0000     -0.56972       11.799    
  12.00000000       1.0000     -0.56745       11.744    
  12.00000000       1.0000     -0.56745       11.744    
  12.12532225       1.0000     -0.56581       11.705    
  12.25064449       1.0000     -0.56416       11.666    
  12.26190577       1.0000     -0.56401       11.662    
  12.28442833       1.0000     -0.56372       11.655    
  12.28442834       1.0000     -0.56372       11.655    
  12.38468613       1.0000     -0.56238       11.623    
  12.48494393       1.0000     -0.56102       11.591    
  12.68545953       1.0000     -0.55868       11.536    
  13.00000000       1.0000     -0.55506       11.451    
  13.00000000       1.0000     -0.55506       11.451    
  13.16041248       1.0000     -0.55338       11.411    
  13.32082495       1.0000     -0.55186       11.376    
  13.59969625       1.0000     -0.54971       11.326    
  13.59969626       1.0000     -0.54971       11.326    
  13.72802624       1.0000     -0.54889       11.307    
  13.85635622       1.0000     -0.54813       11.289    
  14.00000000       1.0000     -0.54737       11.271    
  14.00000000       1.0000     -0.54737       11.271    
  14.10266399       1.0000     -0.54690       11.261    
  14.20532797       1.0000     -0.54652       11.252    
  14.41065594       1.0000     -0.54589       11.237    
  14.54000000       1.0000     -0.54549       11.228    
  14.54000000       1.0000     -0.54549       11.228    
  14.70426238       1.0000     -0.54503       11.217    
  14.86852475       1.0000     -0.54464       11.209    
  15.00000000       1.0000     -0.54438       11.203    
  15.00000000       1.0000     -0.54438       11.203    
  15.08000000       1.0000     -0.54422       11.199    
  15.16000000       1.0000     -0.54407       11.195    
  15.24000000       1.0000     -0.54391       11.192    
  15.24000000       1.0000     -0.54391       11.192    
  15.30400000       1.0000     -0.54378       11.189    
  15.36800000       1.0000     -0.54366       11.186    
  15.49600000       1.0000     -0.54341       11.180    
  15.75200000       1.0000     -0.54286       11.168    
  16.00000000       1.0000     -0.54233       11.155    
  16.00000000       1.0000     -0.54233       11.155    
  16.20480000       1.0000     -0.54185       11.144    
  16.40960000       1.0000     -0.54133       11.133    
  16.81920000       1.0000     -0.54021       11.107    
  17.00000000       1.0000     -0.53974       11.096    
  17.00000000       1.0000     -0.53974       11.096    
  17.32768000       1.0000     -0.53923       11.085    
  17.65536000       1.0000     -0.53918       11.084    
  18.00000000       1.0000     -0.53975       11.097    
  18.00000000       1.0000     -0.53975       11.097    
  18.05242880       1.0000     -0.67479       14.569    
  18.10485760       1.0000     -0.72306       16.002    
  18.12985809       1.0000     -0.74325       16.631    
  18.15363575       1.0000     -0.76034       17.178    
  18.17891094       1.0000     -0.77647       17.704    
  18.20539863       1.0000     -0.79149       18.205    
  18.23523229       1.0000     -0.80638       18.711    
  18.26876143       1.0000     -0.78066       17.843    
  18.30805707       1.0000     -0.76711       17.397    
  18.35523934       1.0000     -0.76852       17.444    
  18.41408531       1.0000     -0.77414       17.628    
  18.42929125       1.0000     -0.77549       17.672    
