#      time         order        eflooravg 
  0.000000000       1.0000       0.0000    
 0.4000000000       1.0000       0.0000    
 0.8000000000       1.0000       0.0000    
 0.9999999986       1.0000       0.0000    
  1.000000001       1.0000       0.0000    
  1.320000001       1.0000       0.0000    
  1.640000001       1.0000       0.0000    
  1.999999999       1.0000       0.0000    
  2.000000001       1.0000       0.0000    
  2.256000001       1.0000       0.0000    
  2.512000001       1.0000       0.0000    
  2.999999999       1.0000       0.0000    
  3.000000001       1.0000       0.0000    
  3.204800001       1.0000       0.0000    
  3.409600001       1.0000       0.0000    
  3.819200001       1.0000       0.0000    
  3.999999999       1.0000       0.0000    
  4.000000001       1.0000       0.0000    
  4.327680001       1.0000       0.0000    
  4.655360001       1.0000       0.0000    
  4.999999999       1.0000       0.0000    
  5.000000001       1.0000       0.0000    
  5.038365838       1.0000       0.0000    
  5.076731675       1.0000       0.0000    
  5.104449597       1.0000       0.0000    
  5.125821266       1.0000       0.0000    
  5.149792543       1.0000       0.0000    
  5.169222996       1.0000       0.0000    
  5.188945411       1.0000       0.0000    
  5.207136413       1.0000       0.0000    
  5.225565452       1.0000       0.0000    
  5.243693695       1.0000       0.0000    
  5.262224369       1.0000       0.0000    
  5.281870193       1.0000       0.0000    
  5.303332979       1.0000       0.0000    
  5.327114068       1.0000       0.0000    
  5.353775991       1.0000       0.0000    
  5.384294426       1.0000       0.0000    
  5.419694227       1.0000       0.0000    
  5.461760222       1.0000       0.0000    
  5.512994686       1.0000       0.0000    
  5.577875623       1.0000       0.0000    
  5.662925412       1.0000       0.0000    
  5.784120998       1.0000       0.0000    
  5.968684679       1.0000      1.29529E-02
  5.999999999       1.0000      1.53575E-02
  6.000000001       1.0000      1.53575E-02
  6.030692671       1.0000      2.24280E-02
  6.061385340       1.0000      2.94984E-02
  6.122770680       1.0000      4.36393E-02
  6.245541358       1.0000      7.89151E-02
  6.491082714       1.0000      0.18718    
  6.581254047       1.0000      0.23564    
  6.581254049       1.0000      0.23564    
  6.777687135       1.0000      0.36852    
  6.974120220       1.0000      0.53101    
  6.999999999       1.0000      0.55287    
  7.000000001       1.0000      0.55287    
  7.031429295       1.0000      0.57942    
  7.062858589       1.0000      0.60597    
  7.093537878       1.0000      0.63188    
  7.124062429       1.0000      0.65766    
  7.161624787       1.0000      0.68939    
  7.225495444       1.0000      0.73942    
  7.298669191       1.0000      0.78999    
  7.417409281       1.0000      0.86938    
  7.600405880       1.0000      0.96768    
  7.921425865       1.0000       1.0723    
  7.999999999       1.0000       1.0904    
  8.000000001       1.0000       1.0904    
  8.025143436       1.0000       1.0923    
  8.050286871       1.0000       1.0942    
  8.100573741       1.0000       1.0981    
  8.201147481       1.0000       1.1057    
  8.402294960       1.0000       1.1057    
  8.804589918       1.0000       21.769    
  8.999999999       1.0000       35.171    
  9.000000001       1.0000       35.171    
  9.321835968       1.0000       65.450    
  9.643671935       1.0000       125.37    
  9.999999999       1.0000       218.84    
  10.00000000       1.0000       218.84    
  10.25746877       1.0000       288.41    
  10.51493755       1.0000       358.76    
  11.00000000       1.0000       413.30    
  11.00000000       1.0000       413.30    
  11.20597502       1.0000       443.34    
  11.41195004       1.0000       477.95    
  11.82390008       1.0000       478.48    
  12.00000000       1.0000       475.19    
  12.00000000       1.0000       475.19    
  12.12532225       1.0000       475.00    
