#      time         order        tairmean     top       
  0.000000000       1.0000       18.999       18.222    
 0.4000000000       1.0000       19.001       18.209    
 0.8000000000       1.0000       19.000       18.201    
 0.9999999986       1.0000       19.000       18.198    
  1.000000001       1.0000       19.000       18.198    
  1.320000001       1.0000       19.000       18.192    
  1.640000001       1.0000       19.000       18.186    
  1.999999999       1.0000       19.000       18.181    
  2.000000001       1.0000       19.000       18.181    
  2.256000001       1.0000       19.000       18.176    
  2.512000001       1.0000       19.000       18.173    
  2.999999999       1.0000       19.000       18.167    
  3.000000001       1.0000       19.000       18.167    
  3.204800001       1.0000       19.000       18.164    
  3.409600001       1.0000       19.000       18.162    
  3.819200001       1.0000       19.000       18.157    
  3.999999999       1.0000       19.000       18.155    
  4.000000001       1.0000       19.000       18.155    
  4.327680001       1.0000       19.000       18.151    
  4.655360001       1.0000       19.000       18.148    
  4.999999999       1.0000       19.000       18.145    
  5.000000001       1.0000       19.000       18.145    
  5.038365838       1.0000       19.000       18.144    
  5.076731675       1.0000       19.000       18.144    
  5.104449597       1.0000       19.000       18.144    
  5.125821266       1.0000       19.000       18.143    
  5.149792543       1.0000       19.000       18.143    
  5.169222996       1.0000       19.000       18.143    
  5.188945411       1.0000       19.000       18.143    
  5.207136413       1.0000       19.000       18.143    
  5.225565452       1.0000       19.000       18.142    
  5.243693695       1.0000       19.000       18.142    
  5.262224369       1.0000       19.000       18.142    
  5.281870193       1.0000       19.000       18.142    
  5.303332979       1.0000       19.000       18.142    
  5.327114068       1.0000       19.000       18.142    
  5.353775991       1.0000       19.000       18.141    
  5.384294426       1.0000       19.000       18.141    
  5.419694227       1.0000       19.000       18.141    
  5.461760222       1.0000       19.000       18.140    
  5.512994686       1.0000       19.000       18.140    
  5.577875623       1.0000       19.000       18.139    
  5.662925412       1.0000       19.000       18.139    
  5.784120998       1.0000       19.000       18.138    
  5.968684679       1.0000       19.000       18.136    
  5.999999999       1.0000       19.000       18.136    
  6.000000001       1.0000       19.000       18.136    
  6.030692671       1.0000       19.000       18.136    
  6.061385340       1.0000       19.000       18.136    
  6.122770680       1.0000       19.000       18.135    
  6.245541358       1.0000       19.000       18.134    
  6.491082714       1.0000       19.001       18.132    
  6.581254047       1.0000       19.001       18.132    
  6.581254049       1.0000       19.001       18.132    
  6.777687135       1.0000       19.001       18.130    
  6.974120220       1.0000       19.001       18.129    
  6.999999999       1.0000       19.001       18.129    
  7.000000001       1.0000       19.001       18.129    
  7.031429295       1.0000       20.113       19.846    
  7.062858589       1.0000       20.992       20.357    
