#      time         order        pmv_1        ppd_1     
  0.000000000       1.0000       0.0000       0.0000    
 0.4000000000       1.0000       0.0000       0.0000    
 0.8000000000       1.0000       0.0000       0.0000    
 0.9999999986       1.0000       0.0000       0.0000    
  1.000000001       1.0000       0.0000       0.0000    
  1.320000001       1.0000       0.0000       0.0000    
  1.640000001       1.0000       0.0000       0.0000    
  1.999999999       1.0000       0.0000       0.0000    
  2.000000001       1.0000       0.0000       0.0000    
  2.256000001       1.0000       0.0000       0.0000    
  2.512000001       1.0000       0.0000       0.0000    
  2.999999999       1.0000       0.0000       0.0000    
  3.000000001       1.0000       0.0000       0.0000    
  3.204800001       1.0000       0.0000       0.0000    
  3.409600001       1.0000       0.0000       0.0000    
  3.819200001       1.0000       0.0000       0.0000    
  3.999999999       1.0000       0.0000       0.0000    
  4.000000001       1.0000       0.0000       0.0000    
  4.327680001       1.0000       0.0000       0.0000    
  4.655360001       1.0000       0.0000       0.0000    
  4.999999999       1.0000       0.0000       0.0000    
  5.000000001       1.0000       0.0000       0.0000    
  5.038365838       1.0000       0.0000       0.0000    
  5.076731675       1.0000       0.0000       0.0000    
  5.104449597       1.0000       0.0000       0.0000    
  5.125821266       1.0000       0.0000       0.0000    
  5.149792543       1.0000       0.0000       0.0000    
  5.169222996       1.0000       0.0000       0.0000    
  5.188945411       1.0000       0.0000       0.0000    
  5.207136413       1.0000       0.0000       0.0000    
  5.225565452       1.0000       0.0000       0.0000    
  5.243693695       1.0000       0.0000       0.0000    
  5.262224369       1.0000       0.0000       0.0000    
  5.281870193       1.0000       0.0000       0.0000    
  5.303332979       1.0000       0.0000       0.0000    
  5.327114068       1.0000       0.0000       0.0000    
  5.353775991       1.0000       0.0000       0.0000    
  5.384294426       1.0000       0.0000       0.0000    
  5.419694227       1.0000       0.0000       0.0000    
  5.461760222       1.0000       0.0000       0.0000    
  5.512994686       1.0000       0.0000       0.0000    
  5.577875623       1.0000       0.0000       0.0000    
  5.662925412       1.0000       0.0000       0.0000    
  5.784120998       1.0000       0.0000       0.0000    
  5.968684679       1.0000     -0.88304       21.462    
  5.999999999       1.0000     -0.88191       21.420    
  6.000000001       1.0000     -0.88124       21.395    
  6.030692671       1.0000     -0.88126       21.396    
  6.061385340       1.0000     -0.88131       21.397    
  6.122770680       1.0000     -0.88143       21.402    
  6.245541358       1.0000     -0.88164       21.410    
  6.491082714       1.0000     -0.88193       21.421    
  6.581254047       1.0000     -0.88201       21.423    
  6.581254049       1.0000     -0.88201       21.423    
  6.777687135       1.0000     -0.88203       21.424    
  6.974120220       1.0000     -0.88185       21.418    
  6.999999999       1.0000     -0.88183       21.417    
  7.000000001       1.0000     -0.88183       21.417    
  7.031429295       1.0000     -0.60720       12.732    
  7.062858589       1.0000     -0.53288       10.941    
  7.093537878       1.0000     -0.55889       11.541    
  7.124062429       1.0000     -0.60600       12.701    
  7.161624787       1.0000     -0.63573       13.484    
  7.225495444       1.0000     -0.63414       13.441    
  7.298669191       1.0000     -0.62591       13.221    
  7.417409281       1.0000     -0.62179       13.112    
  7.600405880       1.0000     -0.61832       13.021    
  7.921425865       1.0000     -0.61259       12.871    
  7.999999999       1.0000     -0.61123       12.836    
  8.000000001       1.0000     -0.61123       12.836    
  8.025143436       1.0000     -0.61082       12.826    
  8.050286871       1.0000     -0.61040       12.815    
  8.100573741       1.0000     -0.60952       12.792    
  8.201147481       1.0000     -0.60780       12.748    
  8.402294960       1.0000     -0.60465       12.667    
  8.804589918       1.0000     -0.59888       12.520    
  8.999999999       1.0000     -0.59612       12.450    
  9.000000001       1.0000     -0.59612       12.450    
  9.321835968       1.0000     -0.59195       12.345    
  9.643671935       1.0000     -0.58808       12.249    
  9.999999999       1.0000     -0.58409       12.150    
  10.00000000       1.0000     -0.58409       12.150    
  10.25746877       1.0000     -0.58116       12.077    
  10.51493755       1.0000     -0.57819       12.005    
  11.00000000       1.0000     -0.57244       11.865    
  11.00000000       1.0000     -0.57244       11.865    
  11.20597502       1.0000     -0.57002       11.806    
  11.41195004       1.0000     -0.56762       11.749    
  11.82390008       1.0000     -0.56286       11.635    
  12.00000000       1.0000     -0.56083       11.587    
  12.00000000       1.0000     -0.56083       11.587    
  12.12532225       1.0000     -0.55938       11.552    
  12.25064449       1.0000     -0.55791       11.518    
  12.26190577       1.0000     -0.55778       11.515    
  12.28442833       1.0000     -0.55752       11.508    
  12.28442834       1.0000     -0.55752       11.508    
  12.38468613       1.0000     -0.55634       11.481    
  12.48494393       1.0000     -0.55514       11.453    
  12.68545953       1.0000     -0.55273       11.396    
  13.00000000       1.0000     -0.54886       11.306    
  13.00000000       1.0000     -0.54886       11.306    
  13.16041248       1.0000     -0.54702       11.263    
  13.32082495       1.0000     -0.54532       11.224    
  13.59969625       1.0000     -0.54268       11.163    
  13.59969626       1.0000     -0.54268       11.163    
  13.72802624       1.0000     -0.54152       11.137    
  13.85635622       1.0000     -0.54042       11.112    
  14.00000000       1.0000     -0.53924       11.085    
  14.00000000       1.0000     -0.53924       11.085    
  14.10266399       1.0000     -0.53847       11.068    
  14.20532797       1.0000     -0.53777       11.052    
  14.41065594       1.0000     -0.53659       11.025    
  14.54000000       1.0000     -0.53593       11.010    
  14.54000000       1.0000     -0.53593       11.010    
  14.70426238       1.0000     -0.53519       10.993    
  14.86852475       1.0000     -0.53455       10.979    
  15.00000000       1.0000     -0.53409       10.968    
  15.00000000       1.0000     -0.53409       10.968    
  15.08000000       1.0000     -0.53381       10.962    
  15.16000000       1.0000     -0.53353       10.956    
  15.24000000       1.0000     -0.53325       10.950    
  15.24000000       1.0000     -0.53325       10.950    
  15.30400000       1.0000     -0.53304       10.945    
  15.36800000       1.0000     -0.53282       10.940    
  15.49600000       1.0000     -0.53239       10.930    
  15.75200000       1.0000     -0.53157       10.912    
  16.00000000       1.0000     -0.53081       10.895    
  16.00000000       1.0000     -0.53081       10.895    
  16.20480000       1.0000     -0.53018       10.880    
  16.40960000       1.0000     -0.52952       10.866    
  16.81920000       1.0000     -0.52817       10.836    
  17.00000000       1.0000     -0.52760       10.823    
  17.00000000       1.0000     -0.52760       10.823    
  17.32768000       1.0000     -0.52692       10.808    
  17.65536000       1.0000     -0.52672       10.803    
  18.00000000       1.0000     -0.52713       10.812    
  18.00000000       1.0000     -0.52713       10.812    
  18.05242880       1.0000     -0.63632       13.499    
  18.10485760       1.0000     -0.67510       14.578    
  18.12985809       1.0000     -0.69122       15.046    
  18.15363575       1.0000     -0.70478       15.448    
  18.17891094       1.0000     -0.71763       15.836    
  18.20539863       1.0000     -0.72959       16.204    
  18.23523229       1.0000     -0.74141       16.573    
  18.26876143       1.0000     -0.75303       16.942    
  18.30805707       1.0000     -0.76480       17.322    
  18.35523934       1.0000     -0.76577       17.354    
  18.41408531       1.0000     -0.75484       17.000    
  18.42929125       1.0000     -0.75306       16.943    
