#      time         order        tairmean     top       
  0.000000000       1.0000       19.000       18.340    
 0.4000000000       1.0000       19.000       18.325    
 0.8000000000       1.0000       19.000       18.315    
 0.9999999986       1.0000       19.000       18.311    
  1.000000001       1.0000       19.000       18.311    
  1.320000001       1.0000       19.000       18.304    
  1.640000001       1.0000       19.000       18.297    
  1.999999999       1.0000       19.000       18.291    
  2.000000001       1.0000       19.000       18.291    
  2.256000001       1.0000       19.000       18.287    
  2.512000001       1.0000       19.000       18.283    
  2.999999999       1.0000       19.000       18.276    
  3.000000001       1.0000       19.000       18.276    
  3.204800001       1.0000       19.000       18.273    
  3.409600001       1.0000       19.000       18.270    
  3.819200001       1.0000       19.000       18.266    
  3.999999999       1.0000       19.000       18.264    
  4.000000001       1.0000       19.000       18.264    
  4.327680001       1.0000       19.000       18.260    
  4.655360001       1.0000       19.000       18.256    
  4.999999999       1.0000       19.000       18.253    
  5.000000001       1.0000       19.000       18.253    
  5.038365838       1.0000       19.000       18.252    
  5.076731675       1.0000       19.000       18.252    
  5.104449597       1.0000       19.000       18.252    
  5.125821266       1.0000       19.000       18.252    
  5.149792543       1.0000       19.000       18.251    
  5.169222996       1.0000       19.000       18.251    
  5.188945411       1.0000       19.000       18.251    
  5.207136413       1.0000       19.000       18.251    
  5.225565452       1.0000       19.000       18.251    
  5.243693695       1.0000       19.000       18.250    
  5.262224369       1.0000       19.000       18.250    
  5.281870193       1.0000       19.000       18.250    
  5.303332979       1.0000       19.000       18.250    
  5.327114068       1.0000       19.000       18.250    
  5.353775991       1.0000       19.000       18.249    
  5.384294426       1.0000       19.000       18.249    
  5.419694227       1.0000       19.000       18.249    
  5.461760222       1.0000       19.000       18.248    
  5.512994686       1.0000       19.000       18.248    
  5.577875623       1.0000       19.000       18.247    
  5.662925412       1.0000       19.000       18.246    
  5.784120998       1.0000       19.000       18.245    
  5.968684679       1.0000       19.000       18.244    
  5.999999999       1.0000       19.000       18.243    
  6.000000001       1.0000       19.000       18.243    
  6.030692671       1.0000       19.000       18.243    
  6.061385340       1.0000       19.000       18.243    
  6.122770680       1.0000       19.000       18.243    
  6.245541358       1.0000       19.000       18.242    
  6.491082714       1.0000       19.001       18.240    
  6.581254047       1.0000       19.001       18.240    
  6.581254049       1.0000       19.001       18.240    
  6.777687135       1.0000       19.001       18.238    
  6.974120220       1.0000       19.001       18.237    
  6.999999999       1.0000       19.001       18.237    
  7.000000001       1.0000       19.001       18.237    
  7.031429295       1.0000       20.120       19.960    
  7.062858589       1.0000       20.998       20.462    
  7.093537878       1.0000       21.306       20.275    
