#      time         order        pmv_1        ppd_1     
  0.000000000       1.0000       0.0000       0.0000    
 0.4000000000       1.0000       0.0000       0.0000    
 0.8000000000       1.0000       0.0000       0.0000    
 0.9999999986       1.0000       0.0000       0.0000    
  1.000000001       1.0000       0.0000       0.0000    
  1.320000001       1.0000       0.0000       0.0000    
  1.640000001       1.0000       0.0000       0.0000    
  1.999999999       1.0000       0.0000       0.0000    
  2.000000001       1.0000       0.0000       0.0000    
  2.256000001       1.0000       0.0000       0.0000    
  2.512000001       1.0000       0.0000       0.0000    
  2.999999999       1.0000       0.0000       0.0000    
  3.000000001       1.0000       0.0000       0.0000    
  3.204800001       1.0000       0.0000       0.0000    
  3.409600001       1.0000       0.0000       0.0000    
  3.819200001       1.0000       0.0000       0.0000    
  3.999999999       1.0000       0.0000       0.0000    
  4.000000001       1.0000       0.0000       0.0000    
  4.327680001       1.0000       0.0000       0.0000    
  4.655360001       1.0000       0.0000       0.0000    
  4.999999999       1.0000       0.0000       0.0000    
  5.000000001       1.0000       0.0000       0.0000    
  5.038365838       1.0000       0.0000       0.0000    
  5.076731675       1.0000       0.0000       0.0000    
  5.104449597       1.0000       0.0000       0.0000    
  5.125821266       1.0000       0.0000       0.0000    
  5.149792543       1.0000       0.0000       0.0000    
  5.169222996       1.0000       0.0000       0.0000    
  5.188945411       1.0000       0.0000       0.0000    
  5.207136413       1.0000       0.0000       0.0000    
  5.225565452       1.0000       0.0000       0.0000    
  5.243693695       1.0000       0.0000       0.0000    
  5.262224369       1.0000       0.0000       0.0000    
  5.281870193       1.0000       0.0000       0.0000    
  5.303332979       1.0000       0.0000       0.0000    
  5.327114068       1.0000       0.0000       0.0000    
  5.353775991       1.0000       0.0000       0.0000    
  5.384294426       1.0000       0.0000       0.0000    
  5.419694227       1.0000       0.0000       0.0000    
  5.461760222       1.0000       0.0000       0.0000    
  5.512994686       1.0000       0.0000       0.0000    
  5.577875623       1.0000       0.0000       0.0000    
  5.662925412       1.0000       0.0000       0.0000    
  5.784120998       1.0000       0.0000       0.0000    
  5.968684679       1.0000     -0.90931       22.461    
  5.999999999       1.0000     -0.90762       22.396    
  6.000000001       1.0000     -0.90731       22.384    
  6.030692671       1.0000     -0.90733       22.384    
  6.061385340       1.0000     -0.90737       22.386    
  6.122770680       1.0000     -0.90750       22.391    
  6.245541358       1.0000     -0.90772       22.400    
  6.491082714       1.0000     -0.90807       22.413    
  6.581254047       1.0000     -0.90816       22.417    
  6.581254049       1.0000     -0.90816       22.417    
  6.777687135       1.0000     -0.90823       22.419    
  6.974120220       1.0000     -0.90810       22.414    
  6.999999999       1.0000     -0.90807       22.413    
  7.000000001       1.0000     -0.90807       22.413    
  7.031429295       1.0000     -0.62968       13.321    
  7.062858589       1.0000     -0.55305       11.404    
  7.093537878       1.0000     -0.57716       11.979    
  7.124062429       1.0000     -0.62400       13.170    
  7.161624787       1.0000     -0.65443       13.995    
  7.225495444       1.0000     -0.65353       13.970    
  7.298669191       1.0000     -0.64533       13.744    
  7.417409281       1.0000     -0.64114       13.630    
  7.600405880       1.0000     -0.63775       13.538    
  7.921425865       1.0000     -0.63223       13.389    
  7.999999999       1.0000     -0.63093       13.355    
  8.000000001       1.0000     -0.63093       13.355    
  8.025143436       1.0000     -0.63054       13.344    
  8.050286871       1.0000     -0.63013       13.333    
  8.100573741       1.0000     -0.62929       13.311    
  8.201147481       1.0000     -0.62763       13.267    
  8.402294960       1.0000     -0.62447       13.183    
  8.804589918       1.0000     -0.61810       13.015    
  8.999999999       1.0000     -0.61512       12.937    
  9.000000001       1.0000     -0.61512       12.937    
  9.321835968       1.0000     -0.61063       12.821    
  9.643671935       1.0000     -0.60632       12.710    
  9.999999999       1.0000     -0.60166       12.590    
  10.00000000       1.0000     -0.60166       12.590    
  10.25746877       1.0000     -0.59817       12.502    
  10.51493755       1.0000     -0.59459       12.411    
  11.00000000       1.0000     -0.58781       12.242    
  11.00000000       1.0000     -0.58781       12.242    
  11.20597502       1.0000     -0.58496       12.171    
  11.41195004       1.0000     -0.58213       12.101    
  11.82390008       1.0000     -0.57676       11.970    
  12.00000000       1.0000     -0.57454       11.916    
  12.00000000       1.0000     -0.57454       11.916    
  12.12532225       1.0000     -0.57295       11.877    
  12.25064449       1.0000     -0.57135       11.838    
  12.26190577       1.0000     -0.57121       11.835    
  12.28442833       1.0000     -0.57092       11.828    
  12.28442834       1.0000     -0.57092       11.828    
  12.38468613       1.0000     -0.56963       11.797    
  12.48494393       1.0000     -0.56834       11.766    
  12.68545953       1.0000     -0.56587       11.707    
  13.00000000       1.0000     -0.56199       11.614    
  13.00000000       1.0000     -0.56199       11.614    
  13.16041248       1.0000     -0.56021       11.572    
  13.32082495       1.0000     -0.55858       11.533    
  13.59969625       1.0000     -0.55620       11.477    
  13.59969626       1.0000     -0.55620       11.477    
  13.72802624       1.0000     -0.55522       11.454    
  13.85635622       1.0000     -0.55430       11.433    
  14.00000000       1.0000     -0.55336       11.411    
  14.00000000       1.0000     -0.55336       11.411    
  14.10266399       1.0000     -0.55277       11.397    
  14.20532797       1.0000     -0.55225       11.385    
  14.41065594       1.0000     -0.55149       11.367    
  14.54000000       1.0000     -0.55107       11.357    
  14.54000000       1.0000     -0.55107       11.357    
  14.70426238       1.0000     -0.55056       11.345    
  14.86852475       1.0000     -0.55015       11.336    
  15.00000000       1.0000     -0.54987       11.329    
  15.00000000       1.0000     -0.54987       11.329    
  15.08000000       1.0000     -0.54970       11.326    
  15.16000000       1.0000     -0.54954       11.322    
  15.24000000       1.0000     -0.54938       11.318    
  15.24000000       1.0000     -0.54938       11.318    
  15.30400000       1.0000     -0.54925       11.315    
  15.36800000       1.0000     -0.54913       11.312    
  15.49600000       1.0000     -0.54890       11.307    
  15.75200000       1.0000     -0.54832       11.293    
  16.00000000       1.0000     -0.54777       11.281    
  16.00000000       1.0000     -0.54777       11.281    
  16.20480000       1.0000     -0.54727       11.269    
  16.40960000       1.0000     -0.54674       11.257    
  16.81920000       1.0000     -0.54558       11.230    
  17.00000000       1.0000     -0.54509       11.219    
  17.00000000       1.0000     -0.54509       11.219    
  17.32768000       1.0000     -0.54457       11.207    
  17.65536000       1.0000     -0.54451       11.206    
  18.00000000       1.0000     -0.54508       11.219    
  18.00000000       1.0000     -0.54508       11.219    
  18.05242880       1.0000     -0.69443       15.140    
  18.10485760       1.0000     -0.74822       16.789    
  18.12985809       1.0000     -0.77079       17.518    
  18.15363575       1.0000     -0.78995       18.154    
  18.17891094       1.0000     -0.80809       18.770    
  18.20539863       1.0000     -0.82225       19.260    
  18.23523229       1.0000     -0.79230       18.232    
  18.26876143       1.0000     -0.77385       17.618    
  18.30805707       1.0000     -0.77261       17.577    
  18.35523934       1.0000     -0.77915       17.793    
  18.41408531       1.0000     -0.78388       17.950    
  18.42929125       1.0000     -0.78473       17.979    
