#      time         order        eflooravg 
  0.000000000       1.0000       0.0000    
 0.4000000000       1.0000       0.0000    
 0.8000000000       1.0000       0.0000    
 0.9999999986       1.0000       0.0000    
  1.000000001       1.0000       0.0000    
  1.320000001       1.0000       0.0000    
  1.640000001       1.0000       0.0000    
  1.999999999       1.0000       0.0000    
  2.000000001       1.0000       0.0000    
  2.256000001       1.0000       0.0000    
  2.512000001       1.0000       0.0000    
  2.999999999       1.0000       0.0000    
  3.000000001       1.0000       0.0000    
  3.204800001       1.0000       0.0000    
  3.409600001       1.0000       0.0000    
  3.819200001       1.0000       0.0000    
  3.999999999       1.0000       0.0000    
  4.000000001       1.0000       0.0000    
  4.327680001       1.0000       0.0000    
  4.655360001       1.0000       0.0000    
  4.999999999       1.0000       0.0000    
  5.000000001       1.0000       0.0000    
  5.038365838       1.0000       0.0000    
  5.076731675       1.0000       0.0000    
  5.104449597       1.0000       0.0000    
  5.125821266       1.0000       0.0000    
  5.149792543       1.0000       0.0000    
  5.169222996       1.0000       0.0000    
  5.188945411       1.0000       0.0000    
  5.207136413       1.0000       0.0000    
  5.225565452       1.0000       0.0000    
  5.243693695       1.0000       0.0000    
  5.262224369       1.0000       0.0000    
  5.281870193       1.0000       0.0000    
  5.303332979       1.0000       0.0000    
  5.327114068       1.0000       0.0000    
  5.353775991       1.0000       0.0000    
  5.384294426       1.0000       0.0000    
  5.419694227       1.0000       0.0000    
  5.461760222       1.0000       0.0000    
  5.512994686       1.0000       0.0000    
  5.577875623       1.0000       0.0000    
  5.662925412       1.0000       0.0000    
  5.784120998       1.0000       0.0000    
  5.968684679       1.0000      2.00895E-02
  5.999999999       1.0000      2.38190E-02
  6.000000001       1.0000      2.38190E-02
  6.030692671       1.0000      3.47851E-02
  6.061385340       1.0000      4.57511E-02
  6.122770680       1.0000      6.76832E-02
  6.245541358       1.0000      0.12239    
  6.491082714       1.0000      0.29030    
  6.581254047       1.0000      0.36548    
  6.581254049       1.0000      0.36548    
  6.777687135       1.0000      0.57156    
  6.974120220       1.0000      0.82358    
  6.999999999       1.0000      0.85749    
  7.000000001       1.0000      0.85749    
  7.031429295       1.0000      0.89866    
  7.062858589       1.0000      0.93983    
  7.093537878       1.0000      0.98002    
  7.124062429       1.0000       1.0200    
  7.161624787       1.0000       1.0692    
  7.225495444       1.0000       1.1468    
  7.298669191       1.0000       1.2253    
  7.417409281       1.0000       1.3484    
  7.600405880       1.0000       1.5008    
  7.921425865       1.0000       1.6631    
  7.999999999       1.0000       1.6912    
  8.000000001       1.0000       1.6912    
  8.025143436       1.0000       1.6941    
  8.050286871       1.0000       1.6971    
  8.100573741       1.0000       1.7031    
  8.201147481       1.0000       1.7150    
  8.402294960       1.0000       1.7150    
  8.804589918       1.0000       34.514    
  8.999999999       1.0000       55.788    
  9.000000001       1.0000       55.788    
  9.321835968       1.0000       90.185    
  9.643671935       1.0000       133.30    
  9.999999999       1.0000       192.39    
  10.00000000       1.0000       192.39    
  10.25746877       1.0000       234.17    
  10.51493755       1.0000       274.14    
  11.00000000       1.0000       317.89    
  11.00000000       1.0000       317.89    
  11.20597502       1.0000       335.83    
  11.41195004       1.0000       353.32    
  11.82390008       1.0000       360.43    
  12.00000000       1.0000       359.88    
  12.00000000       1.0000       359.88    
  12.12532225       1.0000       359.31    
  12.25064449       1.0000       358.58    
