#      time         order        tairmean     top       
  0.000000000       1.0000       18.999       18.174    
 0.4000000000       1.0000       19.001       18.162    
 0.8000000000       1.0000       19.000       18.155    
 0.9999999986       1.0000       19.000       18.152    
  1.000000001       1.0000       19.000       18.152    
  1.320000001       1.0000       19.000       18.147    
  1.640000001       1.0000       19.000       18.142    
  1.999999999       1.0000       19.000       18.137    
  2.000000001       1.0000       19.000       18.137    
  2.256000001       1.0000       19.000       18.134    
  2.512000001       1.0000       19.000       18.130    
  2.999999999       1.0000       19.000       18.124    
  3.000000001       1.0000       19.000       18.124    
  3.204800001       1.0000       19.000       18.121    
  3.409600001       1.0000       19.000       18.119    
  3.819200001       1.0000       19.000       18.114    
  3.999999999       1.0000       19.000       18.112    
  4.000000001       1.0000       19.000       18.112    
  4.327680001       1.0000       19.000       18.109    
  4.655360001       1.0000       19.000       18.105    
  4.999999999       1.0000       19.000       18.102    
  5.000000001       1.0000       19.000       18.102    
  5.038365838       1.0000       19.000       18.102    
  5.076731675       1.0000       19.000       18.102    
  5.104449597       1.0000       19.000       18.101    
  5.125821266       1.0000       19.000       18.101    
  5.149792543       1.0000       19.000       18.101    
  5.169222996       1.0000       19.000       18.101    
  5.188945411       1.0000       19.000       18.101    
  5.207136413       1.0000       19.000       18.100    
  5.225565452       1.0000       19.000       18.100    
  5.243693695       1.0000       19.000       18.100    
  5.262224369       1.0000       19.000       18.100    
  5.281870193       1.0000       19.000       18.100    
  5.303332979       1.0000       19.000       18.100    
  5.327114068       1.0000       19.000       18.099    
  5.353775991       1.0000       19.000       18.099    
  5.384294426       1.0000       19.000       18.099    
  5.419694227       1.0000       19.000       18.099    
  5.461760222       1.0000       19.000       18.098    
  5.512994686       1.0000       19.000       18.098    
  5.577875623       1.0000       19.000       18.097    
  5.662925412       1.0000       19.000       18.096    
  5.784120998       1.0000       19.000       18.096    
  5.968684679       1.0000       19.000       18.094    
  5.999999999       1.0000       19.000       18.094    
  6.000000001       1.0000       19.000       18.094    
  6.030692671       1.0000       19.000       18.094    
  6.061385340       1.0000       19.000       18.094    
  6.122770680       1.0000       19.000       18.093    
  6.245541358       1.0000       19.000       18.092    
  6.491082714       1.0000       19.001       18.090    
  6.581254047       1.0000       19.001       18.090    
  6.581254049       1.0000       19.001       18.090    
  6.777687135       1.0000       19.001       18.088    
  6.974120220       1.0000       19.001       18.087    
  6.999999999       1.0000       19.001       18.086    
  7.000000001       1.0000       19.001       18.086    
  7.031429295       1.0000       20.112       19.811    
  7.062858589       1.0000       20.991       20.326    
  7.093537878       1.0000       21.304       20.149    
  7.124062429       1.0000       21.254       19.830    
  7.161624787       1.0000       21.081       19.627    
  7.225495444       1.0000       20.984       19.632    
  7.298669191       1.0000       20.991       19.685    
  7.417409281       1.0000       21.003       19.710    
  7.600405880       1.0000       21.004       19.727    
  7.921425865       1.0000       21.003       19.755    
  7.999999999       1.0000       21.002       19.761    
  8.000000001       1.0000       21.002       19.761    
  8.025143436       1.0000       21.002       19.763    
  8.050286871       1.0000       21.002       19.765    
  8.100573741       1.0000       21.002       19.769    
  8.201147481       1.0000       21.002       19.777    
  8.402294960       1.0000       21.002       19.791    
  8.804589918       1.0000       21.002       19.816    
  8.999999999       1.0000       21.002       19.828    
  9.000000001       1.0000       21.002       19.828    
  9.321835968       1.0000       21.001       19.844    
  9.643671935       1.0000       21.001       19.860    
  9.999999999       1.0000       21.001       19.877    
  10.00000000       1.0000       21.001       19.877    
  10.25746877       1.0000       21.001       19.889    
  10.51493755       1.0000       21.001       19.901    
  11.00000000       1.0000       21.001       19.920    
  11.00000000       1.0000       21.001       19.920    
  11.20597502       1.0000       21.001       19.929    
  11.41195004       1.0000       21.001       19.936    
  11.82390008       1.0000       21.001       19.950    
  12.00000000       1.0000       21.001       19.955    
  12.00000000       1.0000       21.001       19.955    
  12.12532225       1.0000       21.001       19.958    
  12.25064449       1.0000       21.001       19.962    
  12.26190577       1.0000       21.001       19.962    
  12.28442833       1.0000       21.001       19.963    
  12.28442834       1.0000       21.001       19.963    
  12.38468613       1.0000       21.001       19.965    
  12.48494393       1.0000       21.001       19.968    
  12.68545953       1.0000       21.001       19.972    
  13.00000000       1.0000       21.001       19.978    
  13.00000000       1.0000       21.001       19.978    
  13.16041248       1.0000       21.000       19.980    
  13.32082495       1.0000       21.000       19.983    
  13.59969625       1.0000       21.000       19.986    
  13.59969626       1.0000       21.000       19.986    
  13.72802624       1.0000       21.000       19.988    
  13.85635622       1.0000       21.000       19.989    
  14.00000000       1.0000       21.000       19.990    
  14.00000000       1.0000       21.000       19.990    
  14.10266399       1.0000       21.000       19.991    
  14.20532797       1.0000       21.000       19.991    
  14.41065594       1.0000       21.000       19.992    
  14.54000000       1.0000       21.000       19.993    
  14.54000000       1.0000       21.000       19.993    
  14.70426238       1.0000       21.000       19.994    
  14.86852475       1.0000       21.000       19.995    
  15.00000000       1.0000       21.000       19.997    
  15.00000000       1.0000       21.000       19.997    
  15.08000000       1.0000       21.000       19.997    
  15.16000000       1.0000       21.000       19.998    
  15.24000000       1.0000       21.000       19.999    
  15.24000000       1.0000       21.000       19.999    
  15.30400000       1.0000       21.000       19.999    
  15.36800000       1.0000       21.000       20.000    
  15.49600000       1.0000       21.000       20.001    
  15.75200000       1.0000       21.000       20.003    
  16.00000000       1.0000       21.000       20.006    
  16.00000000       1.0000       21.000       20.006    
  16.20480000       1.0000       21.000       20.009    
  16.40960000       1.0000       21.000       20.011    
  16.81920000       1.0000       21.000       20.016    
  17.00000000       1.0000       21.000       20.018    
  17.00000000       1.0000       21.000       20.018    
  17.32768000       1.0000       21.000       20.022    
  17.65536000       1.0000       20.999       20.025    
  18.00000000       1.0000       20.999       20.029    
  18.00000000       1.0000       20.999       20.029    
  18.05242880       1.0000       20.182       19.023    
  18.10485760       1.0000       19.596       18.685    
  18.12985809       1.0000       19.356       18.546    
  18.15363575       1.0000       19.158       18.430    
  18.17891094       1.0000       18.975       18.321    
  18.20539863       1.0000       18.819       18.238    
  18.23523229       1.0000       18.848       18.422    
  18.26876143       1.0000       18.946       18.537    
  18.30805707       1.0000       19.011       18.545    
  18.35523934       1.0000       19.016       18.505    
  18.41408531       1.0000       19.002       18.477    
  18.42929125       1.0000       18.998       18.473    
  18.45970313       1.0000       18.995       18.469    
  18.52052688       1.0000       18.996       18.465    
  18.63703914       1.0000       18.998       18.452    
  18.82102482       1.0000       18.998       18.430    
  19.00000000       1.0000       18.998       18.411    
  19.00000000       1.0000       18.998       18.411    
  19.04194304       1.0000       18.999       18.407    
  19.08388608       1.0000       18.999       18.403    
  19.16777216       1.0000       18.999       18.395    
  19.33554432       1.0000       18.999       18.380    
  19.67108864       1.0000       18.999       18.358    
  20.00000000       1.0000       18.999       18.339    
  20.00000000       1.0000       18.999       18.339    
  20.26843546       1.0000       18.999       18.325    
  20.53687091       1.0000       18.999       18.313    
  21.00000000       1.0000       18.999       18.296    
  21.00000000       1.0000       18.999       18.296    
  21.21474836       1.0000       18.999       18.289    
  21.42949673       1.0000       18.999       18.282    
  21.85899345       1.0000       18.999       18.271    
  22.00000000       1.0000       18.999       18.268    
  22.00000000       1.0000       18.999       18.268    
  22.34359738       1.0000       19.000       18.260    
  22.68719476       1.0000       19.000       18.254    
  23.00000000       1.0000       19.000       18.249    
  23.00000000       1.0000       19.000       18.249    
  23.12923047       1.0000       19.000       18.247    
  23.25846095       1.0000       19.000       18.245    
  23.27704654       1.0000       19.000       18.244    
  23.31421773       1.0000       19.000       18.244    
  23.31421774       1.0000       19.000       18.244    
  23.41760212       1.0000       19.000       18.242    
  23.52098649       1.0000       19.000       18.241    
  23.72775525       1.0000       19.000       18.238    
  23.97355252       1.0000       19.000       18.235    
  23.97355252       1.0000       19.000       18.235    
  24.01103823       1.0000       19.000       18.235    
  24.04852395       1.0000       19.000       18.234    
  24.12349537       1.0000       19.000       18.233    
  24.12349537       1.0000       19.000       18.233    
  24.15348394       1.0000       19.000       18.233    
  24.18347251       1.0000       19.000       18.233    
  24.24344966       1.0000       19.000       18.232    
  24.36340394       1.0000       19.000       18.231    
  24.60331250       1.0000       19.000       18.228    
  25.00000000       1.0000       19.000       18.225    
  25.00000000       1.0000       19.000       18.225    
  25.07677074       1.0000       19.000       18.224    
  25.15354148       1.0000       19.000       18.223    
  25.16181457       1.0000       19.000       18.223    
  25.16181458       1.0000       19.000       18.223    
  25.22323117       1.0000       19.000       18.223    
  25.28464776       1.0000       19.000       18.222    
  25.40748094       1.0000       19.000       18.221    
  25.65314731       1.0000       19.000       18.219    
  26.00000000       1.0000       19.000       18.216    
  26.00000000       1.0000       19.000       18.216    
  26.19653310       1.0000       19.000       18.214    
  26.39306619       1.0000       19.000       18.213    
  26.78613238       1.0000       19.000       18.210    
  26.84333742       1.0000       19.000       18.209    
  26.84333742       1.0000       19.000       18.209    
  26.92166871       1.0000       19.000       18.209    
  27.00000000       1.0000       19.000       18.208    
  27.00000000       1.0000       19.000       18.208    
  27.06266503       1.0000       19.000       18.207    
  27.12533006       1.0000       19.000       18.207    
  27.25066013       1.0000       19.000       18.206    
  27.50132025       1.0000       19.000       18.204    
  28.00000000       1.0000       19.000       18.201    
  28.00000000       1.0000       19.000       18.201    
  28.20052810       1.0000       19.000       18.200    
  28.40105620       1.0000       19.000       18.198    
  28.80211240       1.0000       19.000       18.196    
  29.00000000       1.0000       19.000       18.195    
  29.00000000       1.0000       19.000       18.195    
  29.04120264       1.0000       19.000       18.195    
  29.08240528       1.0000       19.000       18.194    
  29.10807883       1.0000       19.000       18.194    
  29.12891043       1.0000       19.000       18.194    
  29.15236486       1.0000       19.000       18.194    
  29.17172537       1.0000       19.000       18.194    
  29.19135000       1.0000       19.000       18.194    
  29.20955879       1.0000       19.000       18.194    
  29.22798824       1.0000       19.000       18.194    
  29.24615561       1.0000       19.000       18.193    
  29.26472312       1.0000       19.000       18.193    
  29.28453127       1.0000       19.000       18.193    
  29.30615538       1.0000       19.000       18.193    
  29.33017419       1.0000       19.000       18.193    
  29.35711466       1.0000       19.000       18.193    
  29.38800504       1.0000       19.000       18.193    
  29.42388504       1.0000       19.000       18.192    
  29.46661249       1.0000       19.000       18.192    
  29.51878148       1.0000       19.000       18.192    
  29.58507205       1.0000       19.000       18.192    
  29.67235972       1.0000       19.000       18.191    
  29.79755724       1.0000       19.000       18.191    
  29.98997922       1.0000       19.000       18.190    
  30.00000000       1.0000       19.000       18.190    
  30.00000000       1.0000       19.000       18.190    
  30.03296211       1.0000       19.000       18.190    
  30.06592422       1.0000       19.000       18.190    
  30.13184844       1.0000       19.000       18.189    
  30.26369688       1.0000       19.001       18.189    
  30.52739376       1.0000       19.001       18.187    
  30.93149583       1.0000       19.001       18.186    
  31.00000000       1.0000       19.002       18.186    
  31.00000000       1.0000       19.002       18.186    
  31.02283739       1.0000       19.826       19.701    
  31.04567478       1.0000       20.713       20.461    
  31.07179841       1.0000       21.283       20.504    
  31.09928809       1.0000       21.389       20.159    
  31.12767995       1.0000       21.237       19.823    
  31.16849110       1.0000       21.030       19.673    
  31.22701270       1.0000       20.969       19.729    
  31.30389495       1.0000       20.992       19.790    
  31.37441696       1.0000       21.004       19.806    
  31.37441696       1.0000       21.004       19.806    
  31.39268688       1.0000       21.006       19.808    
  31.41095679       1.0000       21.007       19.808    
  31.44749661       1.0000       21.005       19.810    
  31.52057625       1.0000       21.003       19.818    
  31.66673554       1.0000       21.003       19.833    
  31.95905413       1.0000       21.002       19.859    
  32.00000000       1.0000       21.002       19.863    
  32.00000000       1.0000       21.002       19.863    
  32.23385487       1.0000       21.002       19.881    
  32.46770973       1.0000       21.002       19.897    
  32.93541946       1.0000       21.002       19.926    
  33.00000000       1.0000       21.002       19.930    
  33.00000000       1.0000       21.002       19.930    
  33.37416778       1.0000       21.001       19.950    
  33.74833557       1.0000       21.001       19.970    
  34.00000000       1.0000       21.001       19.983    
  34.00000000       1.0000       21.001       19.983    
  34.29933423       1.0000       21.001       19.998    
  34.59866845       1.0000       21.001       20.012    
  35.00000000       1.0000       21.001       20.029    
  35.00000000       1.0000       21.001       20.029    
  35.23946738       1.0000       21.001       20.038    
  35.47893476       1.0000       21.001       20.047    
  35.95786952       1.0000       21.001       20.061    
  36.00000000       1.0000       21.001       20.062    
  36.00000000       1.0000       21.001       20.062    
  36.38314781       1.0000       21.000       20.072    
  36.76629562       1.0000       21.000       20.080    
  37.00000000       1.0000       21.000       20.085    
  37.00000000       1.0000       21.000       20.085    
  37.30651825       1.0000       21.000       20.090    
  37.61303650       1.0000       21.000       20.095    
  38.00000000       1.0000       21.000       20.095    
  38.00000000       1.0000       21.000       20.095    
  38.24521460       1.0000       21.000       20.095    
  38.49042920       1.0000       21.000       20.094    
  38.98085839       1.0000       21.000       20.095    
  39.00000000       1.0000       21.000       20.095    
  39.00000000       1.0000       21.000       20.095    
  39.39234336       1.0000       21.000       20.096    
  39.78468671       1.0000       21.000       20.098    
  40.00000000       1.0000       21.000       20.099    
  40.00000000       1.0000       21.000       20.099    
  40.31387469       1.0000       21.000       20.101    
  40.62774937       1.0000       21.000       20.103    
  41.00000000       1.0000       21.000       20.105    
  41.00000000       1.0000       21.000       20.105    
  41.25109975       1.0000       20.999       20.106    
  41.50219950       1.0000       20.999       20.107    
  42.00000000       1.0000       20.999       20.108    
  42.00000000       1.0000       20.999       20.108    
  42.00518092       1.0000       20.919       19.679    
  42.01036184       1.0000       20.816       19.488    
  42.01471979       1.0000       20.732       19.441    
  42.01980207       1.0000       20.638       19.388    
  42.02515813       1.0000       20.544       19.335    
  42.03153902       1.0000       20.437       19.274    
  42.03916996       1.0000       20.316       19.206    
  42.04945761       1.0000       20.166       19.120    
  42.06561139       1.0000       19.955       19.000    
  42.08393163       1.0000       19.746       18.879    
  42.10089081       1.0000       19.571       18.779    
  42.11956989       1.0000       19.400       18.679    
  42.13894721       1.0000       19.242       18.586    
  42.16077655       1.0000       19.084       18.493    
  42.18494325       1.0000       18.931       18.401    
  42.21277203       1.0000       18.828       18.384    
  42.24491280       1.0000       18.883       18.551    
  42.28268927       1.0000       18.973       18.630    
  42.32811829       1.0000       19.014       18.615    
  42.38461682       1.0000       19.008       18.578    
  42.39922135       1.0000       19.005       18.570    
  42.42843042       1.0000       18.998       18.561    
  42.44011404       1.0000       18.996       18.559    
  42.46348129       1.0000       18.994       18.557    
  42.51021580       1.0000       18.996       18.555    
  42.60368481       1.0000       18.997       18.543    
  42.78851965       1.0000       18.998       18.520    
  43.00000000       1.0000       18.998       18.496    
  43.00000000       1.0000       18.998       18.496    
  43.00348636       1.0000       18.998       18.496    
  43.00697271       1.0000       18.998       18.496    
  43.01394543       1.0000       18.998       18.495    
  43.02789085       1.0000       18.998       18.494    
  43.05578171       1.0000       18.999       18.491    
  43.11156341       1.0000       18.999       18.484    
  43.22312682       1.0000       18.999       18.473    
  43.44625364       1.0000       18.999       18.452    
  43.89250729       1.0000       18.999       18.419    
  43.89250729       1.0000       18.999       18.419    
  43.94625364       1.0000       18.999       18.415    
  44.00000000       1.0000       18.999       18.412    
  44.00000000       1.0000       18.999       18.412    
  44.04299708       1.0000       18.999       18.409    
  44.08599417       1.0000       18.999       18.406    
  44.17198833       1.0000       18.999       18.401    
  44.34397667       1.0000       18.999       18.392    
  44.68795334       1.0000       18.999       18.374    
  45.00000000       1.0000       18.999       18.360    
  45.00000000       1.0000       18.999       18.360    
  45.27518134       1.0000       18.999       18.348    
  45.55036267       1.0000       18.999       18.338    
  46.00000000       1.0000       18.999       18.323    
  46.00000000       1.0000       18.999       18.323    
  46.09254742       1.0000       18.999       18.320    
  46.18509484       1.0000       18.999       18.318    
  46.20017893       1.0000       18.999       18.317    
  46.23034711       1.0000       18.999       18.316    
  46.23034712       1.0000       18.999       18.316    
  46.30438505       1.0000       18.999       18.314    
  46.37842299       1.0000       18.999       18.312    
  46.52649886       1.0000       18.999       18.308    
  46.82265061       1.0000       18.999       18.298    
  47.00000000       1.0000       18.999       18.293    
  47.00000000       1.0000       18.999       18.293    
  47.23692140       1.0000       18.999       18.286    
  47.47384280       1.0000       18.999       18.280    
  47.94768559       1.0000       18.999       18.268    
  47.98099848       1.0000       18.999       18.267    
  47.98099848       1.0000       18.999       18.267    
  48.07618812       1.0000       18.999       18.265    
  48.17137776       1.0000       19.000       18.262    
  48.18836583       1.0000       19.000       18.262    
  48.22234198       1.0000       19.000       18.261    
  48.22234198       1.0000       19.000       18.261    
  48.29849369       1.0000       19.000       18.259    
  48.37464540       1.0000       19.000       18.258    
  48.52694883       1.0000       19.000       18.254    
  48.83155567       1.0000       19.000       18.248    
  49.00000000       1.0000       19.000       18.245    
  49.00000000       1.0000       19.000       18.245    
  49.24368548       1.0000       19.000       18.240    
  49.48737096       1.0000       19.000       18.235    
  49.97474191       1.0000       19.000       18.226    
  50.00000000       1.0000       19.000       18.226    
  50.00000000       1.0000       19.000       18.226    
  50.38989677       1.0000       19.000       18.219    
  50.77979353       1.0000       19.000       18.212    
  51.00000000       1.0000       19.000       18.209    
  51.00000000       1.0000       19.000       18.209    
  51.31191741       1.0000       19.000       18.203    
  51.62383483       1.0000       19.000       18.198    
  52.00000000       1.0000       19.000       18.192    
  52.00000000       1.0000       19.000       18.192    
  52.13869521       1.0000       19.000       18.190    
  52.27739042       1.0000       18.999       18.187    
  52.29590957       1.0000       18.999       18.187    
  52.33294788       1.0000       18.999       18.186    
  52.33294788       1.0000       18.999       18.186    
  52.44390405       1.0000       18.999       18.185    
  52.55486022       1.0000       18.999       18.183    
  52.77677255       1.0000       18.999       18.179    
