#      time         order        pmv_1        ppd_1     
  0.000000000       1.0000       0.0000       0.0000    
 0.4000000000       1.0000       0.0000       0.0000    
 0.8000000000       1.0000       0.0000       0.0000    
 0.9999999986       1.0000       0.0000       0.0000    
  1.000000001       1.0000       0.0000       0.0000    
  1.320000001       1.0000       0.0000       0.0000    
  1.640000001       1.0000       0.0000       0.0000    
  1.999999999       1.0000       0.0000       0.0000    
  2.000000001       1.0000       0.0000       0.0000    
  2.256000001       1.0000       0.0000       0.0000    
  2.512000001       1.0000       0.0000       0.0000    
  2.999999999       1.0000       0.0000       0.0000    
  3.000000001       1.0000       0.0000       0.0000    
  3.204800001       1.0000       0.0000       0.0000    
  3.409600001       1.0000       0.0000       0.0000    
  3.819200001       1.0000       0.0000       0.0000    
  3.999999999       1.0000       0.0000       0.0000    
  4.000000001       1.0000       0.0000       0.0000    
  4.327680001       1.0000       0.0000       0.0000    
  4.655360001       1.0000       0.0000       0.0000    
  4.999999999       1.0000       0.0000       0.0000    
  5.000000001       1.0000       0.0000       0.0000    
  5.038365838       1.0000       0.0000       0.0000    
  5.076731675       1.0000       0.0000       0.0000    
  5.104449597       1.0000       0.0000       0.0000    
  5.125821266       1.0000       0.0000       0.0000    
  5.149792543       1.0000       0.0000       0.0000    
  5.169222996       1.0000       0.0000       0.0000    
  5.188945411       1.0000       0.0000       0.0000    
  5.207136413       1.0000       0.0000       0.0000    
  5.225565452       1.0000       0.0000       0.0000    
  5.243693695       1.0000       0.0000       0.0000    
  5.262224369       1.0000       0.0000       0.0000    
  5.281870193       1.0000       0.0000       0.0000    
  5.303332979       1.0000       0.0000       0.0000    
  5.327114068       1.0000       0.0000       0.0000    
  5.353775991       1.0000       0.0000       0.0000    
  5.384294426       1.0000       0.0000       0.0000    
  5.419694227       1.0000       0.0000       0.0000    
  5.461760222       1.0000       0.0000       0.0000    
  5.512994686       1.0000       0.0000       0.0000    
  5.577875623       1.0000       0.0000       0.0000    
  5.662925412       1.0000       0.0000       0.0000    
  5.784120998       1.0000       0.0000       0.0000    
  5.968684679       1.0000     -0.88488       21.531    
  5.999999999       1.0000     -0.88371       21.487    
  6.000000001       1.0000     -0.88308       21.464    
  6.030692671       1.0000     -0.88309       21.464    
  6.061385340       1.0000     -0.88314       21.466    
  6.122770680       1.0000     -0.88326       21.471    
  6.245541358       1.0000     -0.88348       21.479    
  6.491082714       1.0000     -0.88377       21.490    
  6.581254047       1.0000     -0.88385       21.493    
  6.581254049       1.0000     -0.88385       21.493    
  6.777687135       1.0000     -0.88388       21.494    
  6.974120220       1.0000     -0.88371       21.487    
  6.999999999       1.0000     -0.88368       21.486    
  7.000000001       1.0000     -0.88368       21.486    
  7.031429295       1.0000     -0.60853       12.766    
  7.062858589       1.0000     -0.53406       10.968    
  7.093537878       1.0000     -0.56003       11.568    
  7.124062429       1.0000     -0.60720       12.732    
  7.161624787       1.0000     -0.63699       13.518    
  7.225495444       1.0000     -0.63542       13.475    
  7.298669191       1.0000     -0.62720       13.255    
  7.417409281       1.0000     -0.62308       13.146    
  7.600405880       1.0000     -0.61964       13.055    
  7.921425865       1.0000     -0.61394       12.907    
  7.999999999       1.0000     -0.61259       12.872    
  8.000000001       1.0000     -0.61259       12.872    
  8.025143436       1.0000     -0.61219       12.861    
  8.050286871       1.0000     -0.61177       12.850    
  8.100573741       1.0000     -0.61090       12.828    
  8.201147481       1.0000     -0.60918       12.783    
  8.402294960       1.0000     -0.60600       12.701    
  8.804589918       1.0000     -0.60021       12.554    
  8.999999999       1.0000     -0.59744       12.483    
  9.000000001       1.0000     -0.59744       12.483    
  9.321835968       1.0000     -0.59323       12.377    
  9.643671935       1.0000     -0.58928       12.278    
  9.999999999       1.0000     -0.58517       12.176    
  10.00000000       1.0000     -0.58517       12.176    
  10.25746877       1.0000     -0.58216       12.102    
  10.51493755       1.0000     -0.57910       12.027    
  11.00000000       1.0000     -0.57325       11.884    
  11.00000000       1.0000     -0.57325       11.884    
  11.20597502       1.0000     -0.57079       11.825    
  11.41195004       1.0000     -0.56835       11.766    
  11.82390008       1.0000     -0.56356       11.652    
  12.00000000       1.0000     -0.56152       11.603    
  12.00000000       1.0000     -0.56152       11.603    
  12.12532225       1.0000     -0.56006       11.568    
  12.25064449       1.0000     -0.55858       11.533    
  12.26190577       1.0000     -0.55845       11.530    
  12.28442833       1.0000     -0.55818       11.524    
  12.28442834       1.0000     -0.55818       11.524    
  12.38468613       1.0000     -0.55699       11.496    
  12.48494393       1.0000     -0.55579       11.468    
  12.68545953       1.0000     -0.55337       11.411    
  13.00000000       1.0000     -0.54951       11.321    
  13.00000000       1.0000     -0.54951       11.321    
  13.16041248       1.0000     -0.54768       11.279    
  13.32082495       1.0000     -0.54598       11.239    
  13.59969625       1.0000     -0.54337       11.179    
  13.59969626       1.0000     -0.54337       11.179    
  13.72802624       1.0000     -0.54223       11.153    
  13.85635622       1.0000     -0.54115       11.128    
  14.00000000       1.0000     -0.54000       11.102    
  14.00000000       1.0000     -0.54000       11.102    
  14.10266399       1.0000     -0.53925       11.085    
  14.20532797       1.0000     -0.53856       11.070    
  14.41065594       1.0000     -0.53743       11.044    
  14.54000000       1.0000     -0.53679       11.029    
  14.54000000       1.0000     -0.53679       11.029    
  14.70426238       1.0000     -0.53608       11.013    
  14.86852475       1.0000     -0.53546       10.999    
  15.00000000       1.0000     -0.53502       10.989    
  15.00000000       1.0000     -0.53502       10.989    
  15.08000000       1.0000     -0.53476       10.983    
  15.16000000       1.0000     -0.53449       10.977    
  15.24000000       1.0000     -0.53423       10.971    
  15.24000000       1.0000     -0.53423       10.971    
  15.30400000       1.0000     -0.53402       10.967    
  15.36800000       1.0000     -0.53381       10.962    
  15.49600000       1.0000     -0.53341       10.953    
  15.75200000       1.0000     -0.53262       10.935    
  16.00000000       1.0000     -0.53188       10.919    
  16.00000000       1.0000     -0.53188       10.919    
  16.20480000       1.0000     -0.53126       10.905    
  16.40960000       1.0000     -0.53062       10.890    
  16.81920000       1.0000     -0.52929       10.861    
  17.00000000       1.0000     -0.52873       10.848    
  17.00000000       1.0000     -0.52873       10.848    
  17.32768000       1.0000     -0.52807       10.833    
  17.65536000       1.0000     -0.52789       10.829    
  18.00000000       1.0000     -0.52831       10.839    
  18.00000000       1.0000     -0.52831       10.839    
  18.05242880       1.0000     -0.64073       13.619    
  18.10485760       1.0000     -0.68070       14.739    
  18.12985809       1.0000     -0.69733       15.226    
  18.15363575       1.0000     -0.71135       15.645    
  18.17891094       1.0000     -0.72462       16.050    
  18.20539863       1.0000     -0.73698       16.434    
  18.23523229       1.0000     -0.74920       16.820    
  18.26876143       1.0000     -0.76121       17.206    
  18.30805707       1.0000     -0.77332       17.601    
  18.35523934       1.0000     -0.76189       17.228    
  18.41408531       1.0000     -0.75505       17.007    
  18.42929125       1.0000     -0.75443       16.987    
