#      time         order        tairmean     top       
  0.000000000       1.0000       19.000       18.328    
 0.4000000000       1.0000       19.000       18.313    
 0.8000000000       1.0000       19.000       18.304    
 0.9999999986       1.0000       19.000       18.299    
  1.000000001       1.0000       19.000       18.299    
  1.320000001       1.0000       19.000       18.293    
  1.640000001       1.0000       19.000       18.286    
  1.999999999       1.0000       19.000       18.280    
  2.000000001       1.0000       19.000       18.280    
  2.256000001       1.0000       19.000       18.276    
  2.512000001       1.0000       19.000       18.272    
  2.999999999       1.0000       19.000       18.265    
  3.000000001       1.0000       19.000       18.265    
  3.204800001       1.0000       19.000       18.262    
  3.409600001       1.0000       19.000       18.260    
  3.819200001       1.0000       19.000       18.255    
  3.999999999       1.0000       19.000       18.253    
  4.000000001       1.0000       19.000       18.253    
  4.327680001       1.0000       19.000       18.249    
  4.655360001       1.0000       19.000       18.246    
  4.999999999       1.0000       19.000       18.242    
  5.000000001       1.0000       19.000       18.242    
  5.038365838       1.0000       19.000       18.242    
  5.076731675       1.0000       19.000       18.241    
  5.104449597       1.0000       19.000       18.241    
  5.125821266       1.0000       19.000       18.241    
  5.149792543       1.0000       19.000       18.241    
  5.169222996       1.0000       19.000       18.240    
  5.188945411       1.0000       19.000       18.240    
  5.207136413       1.0000       19.000       18.240    
  5.225565452       1.0000       19.000       18.240    
  5.243693695       1.0000       19.000       18.240    
  5.262224369       1.0000       19.000       18.240    
  5.281870193       1.0000       19.000       18.239    
  5.303332979       1.0000       19.000       18.239    
  5.327114068       1.0000       19.000       18.239    
  5.353775991       1.0000       19.000       18.239    
  5.384294426       1.0000       19.000       18.238    
  5.419694227       1.0000       19.000       18.238    
  5.461760222       1.0000       19.000       18.238    
  5.512994686       1.0000       19.000       18.237    
  5.577875623       1.0000       19.000       18.237    
  5.662925412       1.0000       19.000       18.236    
  5.784120998       1.0000       19.000       18.235    
  5.968684679       1.0000       19.000       18.233    
  5.999999999       1.0000       19.000       18.233    
  6.000000001       1.0000       19.000       18.233    
  6.030692671       1.0000       19.000       18.233    
  6.061385340       1.0000       19.000       18.233    
  6.122770680       1.0000       19.000       18.232    
  6.245541358       1.0000       19.000       18.231    
  6.491082714       1.0000       19.001       18.229    
  6.581254047       1.0000       19.001       18.229    
  6.581254049       1.0000       19.001       18.229    
  6.777687135       1.0000       19.001       18.228    
  6.974120220       1.0000       19.001       18.226    
  6.999999999       1.0000       19.001       18.226    
  7.000000001       1.0000       19.001       18.226    
  7.031429295       1.0000       20.119       19.951    
  7.062858589       1.0000       20.998       20.454    
  7.093537878       1.0000       21.306       20.267    
  7.124062429       1.0000       21.252       19.944    
  7.161624787       1.0000       21.077       19.744    
  7.225495444       1.0000       20.983       19.754    
  7.298669191       1.0000       20.990       19.807    
  7.417409281       1.0000       21.003       19.832    
  7.600405880       1.0000       21.004       19.849    
  7.921425865       1.0000       21.003       19.878    
  7.999999999       1.0000       21.002       19.885    
  8.000000001       1.0000       21.002       19.885    
  8.025143436       1.0000       21.002       19.887    
  8.050286871       1.0000       21.002       19.889    
  8.100573741       1.0000       21.002       19.894    
  8.201147481       1.0000       21.002       19.902    
  8.402294960       1.0000       21.002       19.916    
  8.804589918       1.0000       21.001       19.938    
  8.999999999       1.0000       21.001       19.948    
  9.000000001       1.0000       21.001       19.948    
  9.321835968       1.0000       21.001       19.963    
  9.643671935       1.0000       21.001       19.976    
  9.999999999       1.0000       21.001       19.990    
  10.00000000       1.0000       21.001       19.990    
  10.25746877       1.0000       21.001       19.999    
  10.51493755       1.0000       21.001       20.007    
  11.00000000       1.0000       21.001       20.021    
  11.00000000       1.0000       21.001       20.021    
  11.20597502       1.0000       21.001       20.026    
  11.41195004       1.0000       21.001       20.031    
  11.82390008       1.0000       21.001       20.041    
  12.00000000       1.0000       21.000       20.045    
  12.00000000       1.0000       21.000       20.045    
  12.12532225       1.0000       21.000       20.047    
  12.25064449       1.0000       21.000       20.050    
  12.26190577       1.0000       21.000       20.050    
  12.28442833       1.0000       21.000       20.051    
  12.28442834       1.0000       21.000       20.051    
  12.38468613       1.0000       21.000       20.053    
  12.48494393       1.0000       21.000       20.055    
  12.68545953       1.0000       21.000       20.059    
  13.00000000       1.0000       21.000       20.064    
  13.00000000       1.0000       21.000       20.064    
  13.16041248       1.0000       21.000       20.068    
  13.32082495       1.0000       21.000       20.071    
  13.59969625       1.0000       21.000       20.076    
  13.59969626       1.0000       21.000       20.076    
  13.72802624       1.0000       21.000       20.078    
  13.85635622       1.0000       21.000       20.080    
  14.00000000       1.0000       21.000       20.083    
  14.00000000       1.0000       21.000       20.083    
  14.10266399       1.0000       21.000       20.085    
  14.20532797       1.0000       21.000       20.087    
  14.41065594       1.0000       21.000       20.090    
  14.54000000       1.0000       21.000       20.092    
  14.54000000       1.0000       21.000       20.092    
  14.70426238       1.0000       21.000       20.095    
  14.86852475       1.0000       21.000       20.098    
  15.00000000       1.0000       21.000       20.100    
  15.00000000       1.0000       21.000       20.100    
  15.08000000       1.0000       21.000       20.102    
  15.16000000       1.0000       21.000       20.103    
  15.24000000       1.0000       21.000       20.104    
  15.24000000       1.0000       21.000       20.104    
  15.30400000       1.0000       21.000       20.105    
  15.36800000       1.0000       21.000       20.107    
  15.49600000       1.0000       21.000       20.109    
  15.75200000       1.0000       21.000       20.113    
  16.00000000       1.0000       21.000       20.117    
  16.00000000       1.0000       21.000       20.117    
  16.20480000       1.0000       21.000       20.120    
  16.40960000       1.0000       21.000       20.124    
  16.81920000       1.0000       21.000       20.130    
  17.00000000       1.0000       21.000       20.133    
  17.00000000       1.0000       21.000       20.133    
  17.32768000       1.0000       21.000       20.137    
  17.65536000       1.0000       20.999       20.142    
  18.00000000       1.0000       20.999       20.146    
  18.00000000       1.0000       20.999       20.146    
  18.05242880       1.0000       20.369       19.380    
  18.10485760       1.0000       19.914       19.120    
  18.12985809       1.0000       19.728       19.013    
  18.15363575       1.0000       19.573       18.924    
  18.17891094       1.0000       19.429       18.841    
  18.20539863       1.0000       19.298       18.764    
  18.23523229       1.0000       19.172       18.688    
  18.26876143       1.0000       19.051       18.615    
  18.30805707       1.0000       18.934       18.541    
  18.35523934       1.0000       18.939       18.615    
  18.41408531       1.0000       18.986       18.659    
  18.42929125       1.0000       18.997       18.663    
  18.45970313       1.0000       19.006       18.654    
  18.52052688       1.0000       19.002       18.634    
  18.63703914       1.0000       18.998       18.618    
  18.82102482       1.0000       18.998       18.598    
  19.00000000       1.0000       18.999       18.579    
  19.00000000       1.0000       18.999       18.579    
  19.04194304       1.0000       18.999       18.575    
  19.08388608       1.0000       18.999       18.570    
  19.16777216       1.0000       18.999       18.562    
  19.33554432       1.0000       18.999       18.546    
  19.67108864       1.0000       18.999       18.517    
  20.00000000       1.0000       18.999       18.493    
  20.00000000       1.0000       18.999       18.493    
  20.26843546       1.0000       18.999       18.477    
  20.53687091       1.0000       18.999       18.464    
  21.00000000       1.0000       18.999       18.445    
  21.00000000       1.0000       18.999       18.445    
  21.21474836       1.0000       18.999       18.437    
  21.42949673       1.0000       18.999       18.429    
  21.85899345       1.0000       18.999       18.415    
  22.00000000       1.0000       19.000       18.411    
  22.00000000       1.0000       19.000       18.411    
  22.34359738       1.0000       19.000       18.402    
  22.68719476       1.0000       19.000       18.394    
  23.00000000       1.0000       19.000       18.388    
  23.00000000       1.0000       19.000       18.388    
  23.12923047       1.0000       19.000       18.386    
  23.25846095       1.0000       19.000       18.383    
  23.27704654       1.0000       19.000       18.383    
  23.31421773       1.0000       19.000       18.382    
  23.31421774       1.0000       19.000       18.382    
  23.41760212       1.0000       19.000       18.380    
  23.52098649       1.0000       19.000       18.379    
  23.72775525       1.0000       19.000       18.375    
  23.97355252       1.0000       19.000       18.372    
  23.97355252       1.0000       19.000       18.372    
  24.01103823       1.0000       19.000       18.371    
  24.04852395       1.0000       19.000       18.371    
  24.12349537       1.0000       19.000       18.370    
  24.12349537       1.0000       19.000       18.370    
  24.15348394       1.0000       19.000       18.369    
  24.18347251       1.0000       19.000       18.369    
  24.24344966       1.0000       19.000       18.368    
  24.36340394       1.0000       19.000       18.366    
  24.60331250       1.0000       19.000       18.363    
  25.00000000       1.0000       19.000       18.359    
  25.00000000       1.0000       19.000       18.359    
  25.07677074       1.0000       19.000       18.358    
  25.15354148       1.0000       19.000       18.357    
  25.16181457       1.0000       19.000       18.357    
  25.16181458       1.0000       19.000       18.357    
  25.22323117       1.0000       19.000       18.357    
  25.28464776       1.0000       19.000       18.356    
  25.40748094       1.0000       19.000       18.355    
  25.65314731       1.0000       19.000       18.353    
  26.00000000       1.0000       19.000       18.350    
  26.00000000       1.0000       19.000       18.350    
  26.19653310       1.0000       19.000       18.348    
  26.39306619       1.0000       19.000       18.346    
  26.78613238       1.0000       19.000       18.343    
  26.84333742       1.0000       19.000       18.342    
  26.84333742       1.0000       19.000       18.342    
  26.92166871       1.0000       19.000       18.342    
  27.00000000       1.0000       19.000       18.341    
  27.00000000       1.0000       19.000       18.341    
  27.06266503       1.0000       19.000       18.340    
  27.12533006       1.0000       19.000       18.340    
  27.25066013       1.0000       19.000       18.339    
  27.50132025       1.0000       19.000       18.337    
  28.00000000       1.0000       19.000       18.333    
  28.00000000       1.0000       19.000       18.333    
  28.20052810       1.0000       19.000       18.331    
  28.40105620       1.0000       19.000       18.330    
  28.80211240       1.0000       19.000       18.327    
  29.00000000       1.0000       19.000       18.325    
  29.00000000       1.0000       19.000       18.325    
  29.04120264       1.0000       19.000       18.325    
  29.08240528       1.0000       19.000       18.325    
  29.10807883       1.0000       19.000       18.325    
  29.12891043       1.0000       19.000       18.325    
  29.15236486       1.0000       19.000       18.324    
  29.17172537       1.0000       19.000       18.324    
  29.19135000       1.0000       19.000       18.324    
  29.20955879       1.0000       19.000       18.324    
  29.22798824       1.0000       19.000       18.324    
  29.24615561       1.0000       19.000       18.324    
  29.26472312       1.0000       19.000       18.324    
  29.28453127       1.0000       19.000       18.324    
  29.30615538       1.0000       19.000       18.323    
  29.33017419       1.0000       19.000       18.323    
  29.35711466       1.0000       19.000       18.323    
  29.38800504       1.0000       19.000       18.323    
  29.42388504       1.0000       19.000       18.323    
  29.46661249       1.0000       19.000       18.323    
  29.51878148       1.0000       19.000       18.322    
  29.58507205       1.0000       19.000       18.322    
  29.67235972       1.0000       19.000       18.321    
  29.79755724       1.0000       19.000       18.321    
  29.98997922       1.0000       19.000       18.320    
  30.00000000       1.0000       19.000       18.320    
  30.00000000       1.0000       19.000       18.320    
  30.03296211       1.0000       19.000       18.320    
  30.06592422       1.0000       19.000       18.320    
  30.13184844       1.0000       19.000       18.319    
  30.26369688       1.0000       19.001       18.318    
  30.52739376       1.0000       19.001       18.317    
  30.93149583       1.0000       19.001       18.315    
  31.00000000       1.0000       19.002       18.314    
  31.00000000       1.0000       19.002       18.314    
  31.02283739       1.0000       19.833       19.834    
  31.04567478       1.0000       20.722       20.587    
  31.07179841       1.0000       21.289       20.616    
  31.09928809       1.0000       21.389       20.261    
  31.12767995       1.0000       21.232       19.923    
  31.16849110       1.0000       21.026       19.779    
  31.22701270       1.0000       20.967       19.839    
  31.30389495       1.0000       20.992       19.899    
  31.37441696       1.0000       21.004       19.914    
  31.37441696       1.0000       21.004       19.914    
  31.39268688       1.0000       21.006       19.916    
  31.41095679       1.0000       21.006       19.917    
  31.44749661       1.0000       21.005       19.919    
  31.52057625       1.0000       21.003       19.927    
  31.66673554       1.0000       21.003       19.943    
  31.95905413       1.0000       21.002       19.970    
  32.00000000       1.0000       21.002       19.974    
  32.00000000       1.0000       21.002       19.974    
  32.23385487       1.0000       21.002       19.992    
  32.46770973       1.0000       21.002       20.007    
  32.93541946       1.0000       21.001       20.033    
  33.00000000       1.0000       21.001       20.037    
  33.00000000       1.0000       21.001       20.037    
  33.37416778       1.0000       21.001       20.056    
