#      time         order        pmv_1        ppd_1     
  0.000000000       1.0000       0.0000       0.0000    
 0.4000000000       1.0000       0.0000       0.0000    
 0.8000000000       1.0000       0.0000       0.0000    
 0.9999999986       1.0000       0.0000       0.0000    
  1.000000001       1.0000       0.0000       0.0000    
  1.320000001       1.0000       0.0000       0.0000    
  1.640000001       1.0000       0.0000       0.0000    
  1.999999999       1.0000       0.0000       0.0000    
  2.000000001       1.0000       0.0000       0.0000    
  2.256000001       1.0000       0.0000       0.0000    
  2.512000001       1.0000       0.0000       0.0000    
  2.999999999       1.0000       0.0000       0.0000    
  3.000000001       1.0000       0.0000       0.0000    
  3.204800001       1.0000       0.0000       0.0000    
  3.409600001       1.0000       0.0000       0.0000    
  3.819200001       1.0000       0.0000       0.0000    
  3.999999999       1.0000       0.0000       0.0000    
  4.000000001       1.0000       0.0000       0.0000    
  4.327680001       1.0000       0.0000       0.0000    
  4.655360001       1.0000       0.0000       0.0000    
  4.999999999       1.0000       0.0000       0.0000    
  5.000000001       1.0000       0.0000       0.0000    
  5.038365838       1.0000       0.0000       0.0000    
  5.076731675       1.0000       0.0000       0.0000    
  5.104449597       1.0000       0.0000       0.0000    
  5.125821266       1.0000       0.0000       0.0000    
  5.149792543       1.0000       0.0000       0.0000    
  5.169222996       1.0000       0.0000       0.0000    
  5.188945411       1.0000       0.0000       0.0000    
  5.207136413       1.0000       0.0000       0.0000    
  5.225565452       1.0000       0.0000       0.0000    
  5.243693695       1.0000       0.0000       0.0000    
  5.262224369       1.0000       0.0000       0.0000    
  5.281870193       1.0000       0.0000       0.0000    
  5.303332979       1.0000       0.0000       0.0000    
  5.327114068       1.0000       0.0000       0.0000    
  5.353775991       1.0000       0.0000       0.0000    
  5.384294426       1.0000       0.0000       0.0000    
  5.419694227       1.0000       0.0000       0.0000    
  5.461760222       1.0000       0.0000       0.0000    
  5.512994686       1.0000       0.0000       0.0000    
  5.577875623       1.0000       0.0000       0.0000    
  5.662925412       1.0000       0.0000       0.0000    
  5.784120998       1.0000       0.0000       0.0000    
  5.968684679       1.0000     -0.89861       22.051    
  5.999999999       1.0000     -0.89713       21.994    
  6.000000001       1.0000     -0.89669       21.978    
  6.030692671       1.0000     -0.89671       21.978    
  6.061385340       1.0000     -0.89675       21.980    
  6.122770680       1.0000     -0.89688       21.985    
  6.245541358       1.0000     -0.89709       21.993    
  6.491082714       1.0000     -0.89739       22.004    
  6.581254047       1.0000     -0.89747       22.007    
  6.581254049       1.0000     -0.89747       22.007    
  6.777687135       1.0000     -0.89751       22.009    
  6.974120220       1.0000     -0.89734       22.002    
  6.999999999       1.0000     -0.89731       22.001    
  7.000000001       1.0000     -0.89731       22.001    
  7.031429295       1.0000     -0.62203       13.118    
  7.062858589       1.0000     -0.54628       11.246    
  7.093537878       1.0000     -0.57061       11.820    
  7.124062429       1.0000     -0.61711       12.989    
  7.161624787       1.0000     -0.64717       13.795    
  7.225495444       1.0000     -0.64613       13.766    
  7.298669191       1.0000     -0.63791       13.542    
  7.417409281       1.0000     -0.63364       13.427    
  7.600405880       1.0000     -0.63010       13.332    
  7.921425865       1.0000     -0.62436       13.180    
  7.999999999       1.0000     -0.62301       13.144    
  8.000000001       1.0000     -0.62301       13.144    
  8.025143436       1.0000     -0.62260       13.133    
  8.050286871       1.0000     -0.62218       13.122    
  8.100573741       1.0000     -0.62131       13.099    
  8.201147481       1.0000     -0.61960       13.055    
  8.402294960       1.0000     -0.61636       12.970    
  8.804589918       1.0000     -0.61023       12.810    
  8.999999999       1.0000     -0.60737       12.737    
  9.000000001       1.0000     -0.60737       12.737    
  9.321835968       1.0000     -0.60306       12.626    
  9.643671935       1.0000     -0.59900       12.523    
  9.999999999       1.0000     -0.59472       12.415    
  10.00000000       1.0000     -0.59472       12.415    
  10.25746877       1.0000     -0.59154       12.335    
  10.51493755       1.0000     -0.58831       12.254    
  11.00000000       1.0000     -0.58213       12.101    
  11.00000000       1.0000     -0.58213       12.101    
  11.20597502       1.0000     -0.57953       12.037    
  11.41195004       1.0000     -0.57695       11.974    
  11.82390008       1.0000     -0.57196       11.853    
  12.00000000       1.0000     -0.56984       11.802    
  12.00000000       1.0000     -0.56984       11.802    
  12.12532225       1.0000     -0.56829       11.765    
  12.25064449       1.0000     -0.56673       11.727    
  12.26190577       1.0000     -0.56659       11.724    
  12.28442833       1.0000     -0.56631       11.717    
  12.28442834       1.0000     -0.56631       11.717    
  12.38468613       1.0000     -0.56504       11.687    
  12.48494393       1.0000     -0.56377       11.656    
  12.68545953       1.0000     -0.56126       11.597    
  13.00000000       1.0000     -0.55731       11.503    
  13.00000000       1.0000     -0.55731       11.503    
  13.16041248       1.0000     -0.55545       11.460    
  13.32082495       1.0000     -0.55374       11.420    
  13.59969625       1.0000     -0.55119       11.360    
  13.59969626       1.0000     -0.55119       11.360    
  13.72802624       1.0000     -0.55013       11.336    
  13.85635622       1.0000     -0.54914       11.313    
  14.00000000       1.0000     -0.54811       11.289    
  14.00000000       1.0000     -0.54811       11.289    
  14.10266399       1.0000     -0.54746       11.274    
  14.20532797       1.0000     -0.54688       11.260    
  14.41065594       1.0000     -0.54595       11.239    
  14.54000000       1.0000     -0.54541       11.226    
  14.54000000       1.0000     -0.54541       11.226    
  14.70426238       1.0000     -0.54480       11.212    
  14.86852475       1.0000     -0.54427       11.200    
  15.00000000       1.0000     -0.54391       11.192    
  15.00000000       1.0000     -0.54391       11.192    
  15.08000000       1.0000     -0.54369       11.187    
  15.16000000       1.0000     -0.54346       11.182    
  15.24000000       1.0000     -0.54325       11.177    
  15.24000000       1.0000     -0.54325       11.177    
  15.30400000       1.0000     -0.54307       11.173    
  15.36800000       1.0000     -0.54290       11.169    
  15.49600000       1.0000     -0.54257       11.161    
  15.75200000       1.0000     -0.54187       11.145    
  16.00000000       1.0000     -0.54122       11.130    
  16.00000000       1.0000     -0.54122       11.130    
  16.20480000       1.0000     -0.54066       11.117    
  16.40960000       1.0000     -0.54007       11.104    
  16.81920000       1.0000     -0.53882       11.075    
  17.00000000       1.0000     -0.53830       11.064    
  17.00000000       1.0000     -0.53830       11.064    
  17.32768000       1.0000     -0.53770       11.050    
  17.65536000       1.0000     -0.53757       11.047    
  18.00000000       1.0000     -0.53807       11.058    
  18.00000000       1.0000     -0.53807       11.058    
  18.05242880       1.0000     -0.66732       14.357    
  18.10485760       1.0000     -0.71333       15.705    
  18.12985809       1.0000     -0.73253       16.295    
  18.15363575       1.0000     -0.74875       16.806    
  18.17891094       1.0000     -0.76404       17.298    
  18.20539863       1.0000     -0.77826       17.764    
  18.23523229       1.0000     -0.79235       18.234    
  18.26876143       1.0000     -0.78796       18.087    
  18.30805707       1.0000     -0.76989       17.488    
  18.35523934       1.0000     -0.76599       17.361    
  18.41408531       1.0000     -0.77027       17.501    
  18.42929125       1.0000     -0.77161       17.544    
