#      time         order        qbridges     qcdwalls2z   qdaylite     qequip2zon   qhc2zone     qlcwinds2z   qlite        qloss        qocc2zone    qterm2zone
  336.0000000       1.0000       0.0000      -1484.3       0.0000       0.0000       2293.6      -612.49       0.0000       0.0000       0.0000      -201.18    
  336.0277111       1.0000       0.0000      -1485.8       0.0000       0.0000       2295.3      -612.62       0.0000       0.0000       0.0000      -201.25    
  336.0554222       1.0000       0.0000      -1487.4       0.0000       0.0000       2297.0      -612.75       0.0000       0.0000       0.0000      -201.29    
  336.0682198       1.0000       0.0000      -1488.1       0.0000       0.0000       2297.8      -612.82       0.0000       0.0000       0.0000      -201.30    
  336.0682198       1.0000       0.0000      -1488.1       0.0000       0.0000       2297.8      -612.82       0.0000       0.0000       0.0000      -201.30    
  336.0903887       1.0000       0.0000      -1489.3       0.0000       0.0000       2299.2      -612.92       0.0000       0.0000       0.0000      -201.29    
  336.1125575       1.0000       0.0000      -1490.5       0.0000       0.0000       2300.5      -613.02       0.0000       0.0000       0.0000      -201.28    
  336.1568953       1.0000       0.0000      -1492.9       0.0000       0.0000       2303.1      -613.22       0.0000       0.0000       0.0000      -201.25    
  336.2455708       1.0000       0.0000      -1497.7       0.0000       0.0000       2308.3      -613.60       0.0000       0.0000       0.0000      -201.21    
  336.4229219       1.0000       0.0000      -1506.8       0.0000       0.0000       2318.2      -614.26       0.0000       0.0000       0.0000      -201.15    
  336.7776240       1.0000       0.0000      -1524.0       0.0000       0.0000       2336.6      -615.46       0.0000       0.0000       0.0000      -201.10    
  337.0000000       1.0000       0.0000      -1534.2       0.0000       0.0000       2347.7      -616.18       0.0000       0.0000       0.0000      -201.08    
  337.0000000       1.0000       0.0000      -1534.2       0.0000       0.0000       2347.7      -616.18       0.0000       0.0000       0.0000      -201.08    
  337.2837617       1.0000       0.0000      -1546.7       0.0000       0.0000       2361.1      -616.99       0.0000       0.0000       0.0000      -200.92    
  337.5675234       1.0000       0.0000      -1558.7       0.0000       0.0000       2373.8      -617.73       0.0000       0.0000       0.0000      -200.76    
  338.0000000       1.0000       0.0000      -1575.7       0.0000       0.0000       2392.1      -618.77       0.0000       0.0000       0.0000      -200.63    
  338.0000000       1.0000       0.0000      -1575.7       0.0000       0.0000       2392.1      -618.77       0.0000       0.0000       0.0000      -200.63    
  338.2270094       1.0000       0.0000      -1584.4       0.0000       0.0000       2401.3      -619.30       0.0000       0.0000       0.0000      -200.59    
  338.4540187       1.0000       0.0000      -1592.8       0.0000       0.0000       2410.3      -619.83       0.0000       0.0000       0.0000      -200.56    
  338.9080375       1.0000       0.0000      -1608.6       0.0000       0.0000       2427.3      -620.89       0.0000       0.0000       0.0000      -200.57    
  339.0000000       1.0000       0.0000      -1611.7       0.0000       0.0000       2430.7      -621.10       0.0000       0.0000       0.0000      -200.57    
  339.0000000       1.0000       0.0000      -1611.7       0.0000       0.0000       2430.7      -621.10       0.0000       0.0000       0.0000      -200.57    
  339.3632150       1.0000       0.0000      -1623.7       0.0000       0.0000       2443.4      -621.81       0.0000       0.0000       0.0000      -200.39    
  339.7264300       1.0000       0.0000      -1635.1       0.0000       0.0000       2455.6      -622.42       0.0000       0.0000       0.0000      -200.23    
  340.0000000       1.0000       0.0000      -1643.5       0.0000       0.0000       2464.4      -622.86       0.0000       0.0000       0.0000      -200.15    
  340.0000000       1.0000       0.0000      -1643.5       0.0000       0.0000       2464.4      -622.86       0.0000       0.0000       0.0000      -200.15    
  340.2001218       1.0000       0.0000      -1649.5       0.0000       0.0000       2470.5      -622.99       0.0000       0.0000       0.0000      -199.68    
  340.4002436       1.0000       0.0000      -1655.3       0.0000       0.0000       2476.2      -622.91       0.0000       0.0000       0.0000      -199.08    
  340.4264857       1.0000       0.0000      -1656.1       0.0000       0.0000       2476.9      -622.90       0.0000       0.0000       0.0000      -199.00    
  340.4789699       1.0000       0.0000      -1657.6       0.0000       0.0000       2478.4      -622.86       0.0000       0.0000       0.0000      -198.85    
  340.4789699       1.0000       0.0000      -1657.6       0.0000       0.0000       2478.4      -622.86       0.0000       0.0000       0.0000      -198.85    
  340.6390673       1.0000       0.0000      -1662.1       0.0000       0.0000       2482.7      -622.67       0.0000       0.0000       0.0000      -198.45    
  340.7991647       1.0000       0.0000      -1666.6       0.0000       0.0000       2486.9      -622.44       0.0000       0.0000       0.0000      -198.11    
  341.0000000       1.0000       0.0000      -1672.1       0.0000       0.0000       2492.1      -622.10       0.0000       0.0000       0.0000      -197.75    
  341.0000000       1.0000       0.0000      -1672.1       0.0000       0.0000       2492.1      -622.10       0.0000       0.0000       0.0000      -197.75    
  341.0334978       1.0000       0.0000      -1673.0       0.0000       0.0000       2492.9      -622.04       0.0000       0.0000       0.0000      -197.69    
  341.0669955       1.0000       0.0000      -1673.9       0.0000       0.0000       2493.8      -621.99       0.0000       0.0000       0.0000      -197.63    
  341.0986329       1.0000       0.0000      -1674.8       0.0000       0.0000       2494.5      -621.91       0.0000       0.0000       0.0000      -197.44    
  341.1209903       1.0000       0.0000      -1675.4       0.0000       0.0000       2495.1      -621.86       0.0000       0.0000       0.0000      -197.30    
  341.1405617       1.0000       0.0000      -1675.9       0.0000       0.0000       2495.5      -621.80       0.0000       0.0000       0.0000      -197.18    
  341.1612116       1.0000       0.0000      -1676.5       0.0000       0.0000       2496.0      -621.75       0.0000       0.0000       0.0000      -197.06    
  341.1798055       1.0000       0.0000      -1677.0       0.0000       0.0000       2496.4      -621.69       0.0000       0.0000       0.0000      -196.95    
  341.1984890       1.0000       0.0000      -1677.5       0.0000       0.0000       2496.8      -621.63       0.0000       0.0000       0.0000      -196.84    
  341.2164927       1.0000       0.0000      -1677.9       0.0000       0.0000       2497.2      -621.57       0.0000       0.0000       0.0000      -196.74    
  341.2347019       1.0000       0.0000      -1678.4       0.0000       0.0000       2497.6      -621.51       0.0000       0.0000       0.0000      -196.64    
