#      time         order        tairmean     top       
  336.0000000       1.0000       19.000       17.998    
  336.0277111       1.0000       19.000       17.998    
  336.0554222       1.0000       19.000       17.998    
  336.0682198       1.0000       19.000       17.997    
  336.0682198       1.0000       19.000       17.997    
  336.0903887       1.0000       19.000       17.997    
  336.1125575       1.0000       19.000       17.997    
  336.1568953       1.0000       19.000       17.996    
  336.2455708       1.0000       19.000       17.994    
  336.4229219       1.0000       19.000       17.992    
  336.7776240       1.0000       19.000       17.987    
  337.0000000       1.0000       19.000       17.984    
  337.0000000       1.0000       19.000       17.984    
  337.2837617       1.0000       19.000       17.980    
  337.5675234       1.0000       19.000       17.976    
  338.0000000       1.0000       19.000       17.971    
  338.0000000       1.0000       19.000       17.971    
  338.2270094       1.0000       19.000       17.968    
  338.4540187       1.0000       19.000       17.966    
  338.9080375       1.0000       19.000       17.961    
  339.0000000       1.0000       19.000       17.960    
  339.0000000       1.0000       19.000       17.960    
  339.3632150       1.0000       19.000       17.956    
  339.7264300       1.0000       19.000       17.952    
  340.0000000       1.0000       19.000       17.949    
  340.0000000       1.0000       19.000       17.949    
  340.2001218       1.0000       19.000       17.947    
  340.4002436       1.0000       19.000       17.945    
  340.4264857       1.0000       19.000       17.945    
  340.4789699       1.0000       19.000       17.945    
  340.4789699       1.0000       19.000       17.945    
  340.6390673       1.0000       19.000       17.943    
  340.7991647       1.0000       19.000       17.942    
  341.0000000       1.0000       19.000       17.940    
  341.0000000       1.0000       19.000       17.940    
  341.0334978       1.0000       19.000       17.939    
  341.0669955       1.0000       19.000       17.939    
  341.0986329       1.0000       19.000       17.939    
  341.1209903       1.0000       19.000       17.939    
  341.1405617       1.0000       19.000       17.938    
  341.1612116       1.0000       19.000       17.938    
  341.1798055       1.0000       19.000       17.938    
  341.1984890       1.0000       19.000       17.938    
  341.2164927       1.0000       19.000       17.938    
  341.2347019       1.0000       19.000       17.938    
  341.2529417       1.0000       19.000       17.937    
  341.2719537       1.0000       19.000       17.937    
  341.2926427       1.0000       19.000       17.937    
  341.3153501       1.0000       19.000       17.937    
  341.3408346       1.0000       19.000       17.937    
  341.3695986       1.0000       19.000       17.936    
  341.4029150       1.0000       19.000       17.936    
  341.4420061       1.0000       19.000       17.936    
  341.4891999       1.0000       19.000       17.935    
  341.5478014       1.0000       19.000       17.935    
  341.6239840       1.0000       19.000       17.934    
  341.7273979       1.0000       19.000       17.933    
  341.8824781       1.0000       19.000       17.932    
  342.0000000       1.0000       19.000       17.931    
  342.0000000       1.0000       19.000       17.931    
  342.0253099       1.0000       19.000       17.931    
  342.0506198       1.0000       19.000       17.931    
  342.1012396       1.0000       19.000       17.930    
