#      time         order        pmv_1        ppd_1     
  336.0000000       1.0000       0.0000       0.0000    
  336.0277111       1.0000       0.0000       0.0000    
  336.0554222       1.0000       0.0000       0.0000    
  336.0682198       1.0000       0.0000       0.0000    
  336.0682198       1.0000       0.0000       0.0000    
  336.0903887       1.0000       0.0000       0.0000    
  336.1125575       1.0000       0.0000       0.0000    
  336.1568953       1.0000       0.0000       0.0000    
  336.2455708       1.0000       0.0000       0.0000    
  336.4229219       1.0000       0.0000       0.0000    
  336.7776240       1.0000       0.0000       0.0000    
  337.0000000       1.0000       0.0000       0.0000    
  337.0000000       1.0000       0.0000       0.0000    
  337.2837617       1.0000       0.0000       0.0000    
  337.5675234       1.0000       0.0000       0.0000    
  338.0000000       1.0000       0.0000       0.0000    
  338.0000000       1.0000       0.0000       0.0000    
  338.2270094       1.0000       0.0000       0.0000    
  338.4540187       1.0000       0.0000       0.0000    
  338.9080375       1.0000       0.0000       0.0000    
  339.0000000       1.0000       0.0000       0.0000    
  339.0000000       1.0000       0.0000       0.0000    
  339.3632150       1.0000       0.0000       0.0000    
  339.7264300       1.0000       0.0000       0.0000    
  340.0000000       1.0000       0.0000       0.0000    
  340.0000000       1.0000       0.0000       0.0000    
  340.2001218       1.0000       0.0000       0.0000    
  340.4002436       1.0000       0.0000       0.0000    
  340.4264857       1.0000       0.0000       0.0000    
  340.4789699       1.0000       0.0000       0.0000    
  340.4789699       1.0000       0.0000       0.0000    
  340.6390673       1.0000       0.0000       0.0000    
  340.7991647       1.0000       0.0000       0.0000    
  341.0000000       1.0000       0.0000       0.0000    
  341.0000000       1.0000       0.0000       0.0000    
  341.0334978       1.0000       0.0000       0.0000    
  341.0669955       1.0000       0.0000       0.0000    
  341.0986329       1.0000       0.0000       0.0000    
  341.1209903       1.0000       0.0000       0.0000    
  341.1405617       1.0000       0.0000       0.0000    
  341.1612116       1.0000       0.0000       0.0000    
  341.1798055       1.0000       0.0000       0.0000    
  341.1984890       1.0000       0.0000       0.0000    
  341.2164927       1.0000       0.0000       0.0000    
  341.2347019       1.0000       0.0000       0.0000    
  341.2529417       1.0000       0.0000       0.0000    
  341.2719537       1.0000       0.0000       0.0000    
  341.2926427       1.0000       0.0000       0.0000    
  341.3153501       1.0000       0.0000       0.0000    
  341.3408346       1.0000       0.0000       0.0000    
  341.3695986       1.0000       0.0000       0.0000    
  341.4029150       1.0000       0.0000       0.0000    
  341.4420061       1.0000       0.0000       0.0000    
  341.4891999       1.0000       0.0000       0.0000    
  341.5478014       1.0000       0.0000       0.0000    
  341.6239840       1.0000       0.0000       0.0000    
  341.7273979       1.0000       0.0000       0.0000    
  341.8824781       1.0000     -0.97607       25.123    
  342.0000000       1.0000     -0.97127       24.926    
  342.0000000       1.0000     -0.97369       25.025    
  342.0253099       1.0000     -0.97371       25.026    
  342.0506198       1.0000     -0.97372       25.026    
  342.1012396       1.0000     -0.97375       25.028    
  342.2024792       1.0000     -0.97380       25.029    
  342.4049584       1.0000     -0.97379       25.029    
  342.8099168       1.0000     -0.97352       25.018    
  343.0000000       1.0000     -0.97339       25.013    
  343.0000000       1.0000     -0.97339       25.013    
  343.0343974       1.0000     -0.67610       14.607    
  343.0687947       1.0000     -0.61013       12.808    
  343.1011975       1.0000     -0.63885       13.568    
  343.1334790       1.0000     -0.68382       14.830    
  343.1755055       1.0000     -0.70829       15.553    
  343.2407045       1.0000     -0.70460       15.442    
  343.3212849       1.0000     -0.69745       15.229    
  343.4507502       1.0000     -0.69427       15.136    
  343.6548670       1.0000     -0.69133       15.049    
  344.0000000       1.0000     -0.68685       14.918    
  344.0000000       1.0000     -0.68685       14.918    
  344.0275179       1.0000     -0.68650       14.908    
  344.0550358       1.0000     -0.68615       14.897    
  344.1100716       1.0000     -0.68547       14.878    
  344.2201431       1.0000     -0.68417       14.840    
  344.4402862       1.0000     -0.68186       14.773    
  344.8805725       1.0000     -0.67803       14.662    
  345.0000000       1.0000     -0.67705       14.634    
  345.0000000       1.0000     -0.67705       14.634    
  345.3522290       1.0000     -0.67452       14.562    
  345.7044580       1.0000     -0.67231       14.498    
  346.0000000       1.0000     -0.67064       14.451    
  346.0000000       1.0000     -0.67064       14.451    
  346.2817832       1.0000     -0.66919       14.409    
  346.5635664       1.0000     -0.66795       14.374    
  347.0000000       1.0000     -0.66629       14.327    
  347.0000000       1.0000     -0.66629       14.327    
  347.2254266       1.0000     -0.66549       14.305    
  347.4508531       1.0000     -0.66473       14.283    
  347.9017062       1.0000     -0.66335       14.244    
