#      time         order        qbridges     qcdwalls2z   qdaylite     qequip2zon   qhc2zone     qlcwinds2z   qlite        qloss        qocc2zone    qterm2zone
  336.0000000       1.0000       0.0000      -1449.1       0.0000       0.0000       2632.1      -986.14       0.0000       0.0000       0.0000      -201.18    
  336.0277111       1.0000       0.0000      -1450.6       0.0000       0.0000       2633.8      -986.35       0.0000       0.0000       0.0000      -201.25    
  336.0554222       1.0000       0.0000      -1452.1       0.0000       0.0000       2635.6      -986.57       0.0000       0.0000       0.0000      -201.29    
  336.0682198       1.0000       0.0000      -1452.8       0.0000       0.0000       2636.4      -986.67       0.0000       0.0000       0.0000      -201.30    
  336.0682198       1.0000       0.0000      -1452.8       0.0000       0.0000       2636.4      -986.67       0.0000       0.0000       0.0000      -201.30    
  336.0903887       1.0000       0.0000      -1454.0       0.0000       0.0000       2637.8      -986.84       0.0000       0.0000       0.0000      -201.29    
  336.1125575       1.0000       0.0000      -1455.2       0.0000       0.0000       2639.2      -987.01       0.0000       0.0000       0.0000      -201.28    
  336.1568953       1.0000       0.0000      -1457.6       0.0000       0.0000       2641.9      -987.33       0.0000       0.0000       0.0000      -201.25    
  336.2455708       1.0000       0.0000      -1462.3       0.0000       0.0000       2647.2      -987.95       0.0000       0.0000       0.0000      -201.21    
  336.4229219       1.0000       0.0000      -1471.3       0.0000       0.0000       2657.4      -989.02       0.0000       0.0000       0.0000      -201.15    
  336.7776240       1.0000       0.0000      -1488.2       0.0000       0.0000       2676.3      -990.96       0.0000       0.0000       0.0000      -201.10    
  337.0000000       1.0000       0.0000      -1498.4       0.0000       0.0000       2687.8      -992.13       0.0000       0.0000       0.0000      -201.08    
  337.0000000       1.0000       0.0000      -1498.4       0.0000       0.0000       2687.8      -992.13       0.0000       0.0000       0.0000      -201.08    
  337.2837617       1.0000       0.0000      -1510.7       0.0000       0.0000       2701.5      -993.45       0.0000       0.0000       0.0000      -200.92    
  337.5675234       1.0000       0.0000      -1522.5       0.0000       0.0000       2714.6      -994.63       0.0000       0.0000       0.0000      -200.76    
