#      time         order        tairmean     top       
  336.0000000       1.0000       19.000       17.954    
  336.0277111       1.0000       19.000       17.954    
  336.0554222       1.0000       19.000       17.953    
  336.0682198       1.0000       19.000       17.953    
  336.0682198       1.0000       19.000       17.953    
  336.0903887       1.0000       19.000       17.953    
  336.1125575       1.0000       19.000       17.952    
  336.1568953       1.0000       19.000       17.952    
  336.2455708       1.0000       19.000       17.950    
  336.4229219       1.0000       19.000       17.948    
  336.7776240       1.0000       19.000       17.943    
  337.0000000       1.0000       19.000       17.940    
  337.0000000       1.0000       19.000       17.940    
  337.2837617       1.0000       19.000       17.936    
  337.5675234       1.0000       19.000       17.932    
  338.0000000       1.0000       19.000       17.927    
  338.0000000       1.0000       19.000       17.927    
  338.2270094       1.0000       19.000       17.924    
  338.4540187       1.0000       19.000       17.922    
  338.9080375       1.0000       19.000       17.917    
  339.0000000       1.0000       19.000       17.916    
  339.0000000       1.0000       19.000       17.916    
  339.3632150       1.0000       19.000       17.912    
  339.7264300       1.0000       19.000       17.909    
  340.0000000       1.0000       19.000       17.906    
  340.0000000       1.0000       19.000       17.906    
  340.2001218       1.0000       19.000       17.904    
  340.4002436       1.0000       19.000       17.902    
  340.4264857       1.0000       19.000       17.902    
  340.4789699       1.0000       19.000       17.901    
  340.4789699       1.0000       19.000       17.901    
  340.6390673       1.0000       19.000       17.900    
  340.7991647       1.0000       19.000       17.898    
  341.0000000       1.0000       19.000       17.897    
  341.0000000       1.0000       19.000       17.897    
  341.0334978       1.0000       19.000       17.896    
  341.0669955       1.0000       19.000       17.896    
  341.0986329       1.0000       19.000       17.896    
  341.1209903       1.0000       19.000       17.895    
  341.1405617       1.0000       19.000       17.895    
  341.1612116       1.0000       19.000       17.895    
  341.1798055       1.0000       19.000       17.895    
  341.1984890       1.0000       19.000       17.895    
  341.2164927       1.0000       19.000       17.895    
  341.2347019       1.0000       19.000       17.894    
  341.2529417       1.0000       19.000       17.894    
  341.2719537       1.0000       19.000       17.894    
  341.2926427       1.0000       19.000       17.894    
  341.3153501       1.0000       19.000       17.894    
  341.3408346       1.0000       19.000       17.894    
  341.3695986       1.0000       19.000       17.893    
  341.4029150       1.0000       19.000       17.893    
  341.4420061       1.0000       19.000       17.893    
  341.4891999       1.0000       19.000       17.892    
  341.5478014       1.0000       19.000       17.892    
  341.6239840       1.0000       19.000       17.891    
  341.7273979       1.0000       19.000       17.890    
  341.8824781       1.0000       19.000       17.889    
  342.0000000       1.0000       19.000       17.888    
  342.0000000       1.0000       19.000       17.888    
  342.0253099       1.0000       19.000       17.888    
  342.0506198       1.0000       19.000       17.888    
  342.1012396       1.0000       19.000       17.887    
  342.2024792       1.0000       19.000       17.887    
  342.4049584       1.0000       19.000       17.885    
  342.8099168       1.0000       19.000       17.882    
  343.0000000       1.0000       19.000       17.881    
  343.0000000       1.0000       19.000       17.881    
  343.0343974       1.0000       20.187       19.660    
  343.0687947       1.0000       21.038       20.094    
  343.1011975       1.0000       21.285       19.880    
  343.1334790       1.0000       21.209       19.581    
  343.1755055       1.0000       21.049       19.423    
  343.2407045       1.0000       20.983       19.448    
  343.3212849       1.0000       20.994       19.494    
  343.4507502       1.0000       21.003       19.514    
  343.6548670       1.0000       21.003       19.532    
  344.0000000       1.0000       21.002       19.560    
  344.0000000       1.0000       21.002       19.560    
  344.0275179       1.0000       21.002       19.562    
  344.0550358       1.0000       21.002       19.564    
  344.1100716       1.0000       21.002       19.569    
  344.2201431       1.0000       21.002       19.577    
  344.4402862       1.0000       21.002       19.591    
  344.8805725       1.0000       21.001       19.616    
  345.0000000       1.0000       21.001       19.622    
  345.0000000       1.0000       21.001       19.622    
  345.3522290       1.0000       21.001       19.639    
  345.7044580       1.0000       21.001       19.653    
  346.0000000       1.0000       21.001       19.664    
  346.0000000       1.0000       21.001       19.664    
  346.2817832       1.0000       21.001       19.673    
  346.5635664       1.0000       21.001       19.681    
  347.0000000       1.0000       21.001       19.692    
  347.0000000       1.0000       21.001       19.692    
  347.2254266       1.0000       21.001       19.697    
  347.4508531       1.0000       21.001       19.702    
  347.9017062       1.0000       21.000       19.711    
  348.0000000       1.0000       21.000       19.713    
  348.0000000       1.0000       21.000       19.713    
  348.3606825       1.0000       21.000       19.720    
  348.7213650       1.0000       21.000       19.726    
  349.0000000       1.0000       21.000       19.731    
  349.0000000       1.0000       21.000       19.731    
  349.2885460       1.0000       21.000       19.736    
  349.5770920       1.0000       21.000       19.740    
  350.0000000       1.0000       21.000       19.746    
  350.0000000       1.0000       21.000       19.746    
  350.2308368       1.0000       21.000       19.749    
  350.4616736       1.0000       21.000       19.752    
  350.9233472       1.0000       21.000       19.758    
  351.0000000       1.0000       21.000       19.759    
  351.0000000       1.0000       21.000       19.759    
  351.3693389       1.0000       21.000       19.763    
  351.7386777       1.0000       21.000       19.767    
  352.0000000       1.0000       21.000       19.770    
  352.0000000       1.0000       21.000       19.770    
  352.2954711       1.0000       21.000       19.773    
  352.5909422       1.0000       21.000       19.776    
  353.0000000       1.0000       21.000       19.780    
  353.0000000       1.0000       21.000       19.780    
  353.2363769       1.0000       21.000       19.782    
  353.4727537       1.0000       21.000       19.784    
  353.9455075       1.0000       21.000       19.788    
  354.0000000       1.0000       21.000       19.788    
  354.0000000       1.0000       21.000       19.788    
  354.0046236       1.0000       20.936       19.401    
  354.0092473       1.0000       20.814       19.003    
  354.0134993       1.0000       20.690       18.845    
  354.0183215       1.0000       20.557       18.769    
  354.0235096       1.0000       20.419       18.692    
  354.0295705       1.0000       20.266       18.606    
  354.0367403       1.0000       20.096       18.510    
  354.0460314       1.0000       19.892       18.395    
  354.0614145       1.0000       19.591       18.225    
  354.0775514       1.0000       19.310       18.066    
  354.0952474       1.0000       19.039       17.911    
  354.1127748       1.0000       18.798       17.773    
  354.1321040       1.0000       18.642       17.798    
  354.1528446       1.0000       18.684       18.074    
  354.1760775       1.0000       18.840       18.299    
  354.2020327       1.0000       18.992       18.383    
  354.2319561       1.0000       19.061       18.341    
  354.2669690       1.0000       19.048       18.258    
  354.3090002       1.0000       19.010       18.210    
  354.3607550       1.0000       18.992       18.204    
  354.4273817       1.0000       18.994       18.204    
  354.5171632       1.0000       18.998       18.194    
  354.6460732       1.0000       18.998       18.179    
  354.8495059       1.0000       18.998       18.158    
  355.0000000       1.0000       18.998       18.143    
  355.0000000       1.0000       18.998       18.143    
  355.0034017       1.0000       18.998       18.143    
  355.0068033       1.0000       18.998       18.142    
  355.0136066       1.0000       18.998       18.142    
  355.0272133       1.0000       18.998       18.140    
  355.0544265       1.0000       18.998       18.138    
  355.1088531       1.0000       18.999       18.132    
  355.2177062       1.0000       18.999       18.123    
  355.4354123       1.0000       18.999       18.106    
  355.8708247       1.0000       18.999       18.078    
  356.0000000       1.0000       18.999       18.070    
  356.0000000       1.0000       18.999       18.070    
  356.3483299       1.0000       18.999       18.052    
  356.6966597       1.0000       18.999       18.037    
  357.0000000       1.0000       18.999       18.025    
  357.0000000       1.0000       18.999       18.025    
  357.2786639       1.0000       18.999       18.015    
  357.5573278       1.0000       18.999       18.006    
  358.0000000       1.0000       18.999       17.994    
  358.0000000       1.0000       18.999       17.994    
  358.2229311       1.0000       18.999       17.989    
  358.4458622       1.0000       18.999       17.983    
  358.4664365       1.0000       18.999       17.983    
  358.5075852       1.0000       18.999       17.982    
  358.5075852       1.0000       18.999       17.982    
  358.6859301       1.0000       19.000       17.978    
  358.8642750       1.0000       19.000       17.974    
  359.0000000       1.0000       19.000       17.971    
  359.0000000       1.0000       19.000       17.971    
  359.1426759       1.0000       19.000       17.969    
  359.2853518       1.0000       19.000       17.966    
  359.5707036       1.0000       19.000       17.961    
  360.0000000       1.0000       19.000       17.954    
