#      time         order        q_cool       q_equip      q_heat       q_light      q_loss       q_occ        qintw        ql_a         qventil      qwcb         qwind     
  336.0000000       1.0000       0.0000       0.0000       2632.1       0.0000       0.0000       0.0000       210.00      -64.509      -132.35      -1659.1      -986.14    
  336.0277111       1.0000       0.0000       0.0000       2633.8       0.0000       0.0000       0.0000       208.94      -64.526      -132.35      -1659.5      -986.35    
  336.0554222       1.0000       0.0000       0.0000       2635.6       0.0000       0.0000       0.0000       207.89      -64.543      -132.35      -1660.0      -986.57    
  336.0682198       1.0000       0.0000       0.0000       2636.4       0.0000       0.0000       0.0000       207.40      -64.550      -132.35      -1660.2      -986.67    
  336.0682198       1.0000       0.0000       0.0000       2636.4       0.0000       0.0000       0.0000       207.40      -64.550      -132.35      -1660.2      -986.67    
  336.0903887       1.0000       0.0000       0.0000       2637.8       0.0000       0.0000       0.0000       206.57      -64.559      -132.35      -1660.6      -986.84    
  336.1125575       1.0000       0.0000       0.0000       2639.2       0.0000       0.0000       0.0000       205.74      -64.567      -132.35      -1661.0      -987.01    
  336.1568953       1.0000       0.0000       0.0000       2641.9       0.0000       0.0000       0.0000       204.12      -64.584      -132.35      -1661.7      -987.33    
  336.2455708       1.0000       0.0000       0.0000       2647.2       0.0000       0.0000       0.0000       200.90      -64.618      -132.35      -1663.2      -987.95    
  336.4229219       1.0000       0.0000       0.0000       2657.4       0.0000       0.0000       0.0000       194.88      -64.685      -132.35      -1666.2      -989.02    
  336.7776240       1.0000       0.0000       0.0000       2676.3       0.0000       0.0000       0.0000       183.91      -64.822      -132.36      -1672.1      -990.96    
  337.0000000       1.0000       0.0000       0.0000       2687.8       0.0000       0.0000       0.0000       177.46      -64.908      -132.36      -1675.8      -992.13    
  337.0000000       1.0000       0.0000       0.0000       2687.8       0.0000       0.0000       0.0000       177.46      -64.908      -132.36      -1675.8      -992.13    
  337.2837617       1.0000       0.0000       0.0000       2701.5       0.0000       0.0000       0.0000       169.80      -64.994      -132.36      -1680.5      -993.45    
  337.5675234       1.0000       0.0000       0.0000       2714.6       0.0000       0.0000       0.0000       162.68      -65.075      -132.36      -1685.2      -994.63    
  338.0000000       1.0000       0.0000       0.0000       2733.3       0.0000       0.0000       0.0000       152.88      -65.198      -132.36      -1692.3      -996.32    
  338.0000000       1.0000       0.0000       0.0000       2733.3       0.0000       0.0000       0.0000       152.88      -65.198      -132.36      -1692.3      -996.32    
  338.2270094       1.0000       0.0000       0.0000       2742.8       0.0000       0.0000       0.0000       148.01      -65.264      -132.36      -1696.0      -997.19    
  338.4540187       1.0000       0.0000       0.0000       2752.0       0.0000       0.0000       0.0000       143.38      -65.329      -132.36      -1699.6      -998.05    
  338.9080375       1.0000       0.0000       0.0000       2769.5       0.0000       0.0000       0.0000       135.00      -65.461      -132.36      -1706.9      -999.77    
  339.0000000       1.0000       0.0000       0.0000       2773.0       0.0000       0.0000       0.0000       133.34      -65.488      -132.36      -1708.3      -1000.1    
  339.0000000       1.0000       0.0000       0.0000       2773.0       0.0000       0.0000       0.0000       133.34      -65.488      -132.36      -1708.3      -1000.1    
  339.3632150       1.0000       0.0000       0.0000       2786.0       0.0000       0.0000       0.0000       127.24      -65.562      -132.36      -1714.1      -1001.3    
  339.7264300       1.0000       0.0000       0.0000       2798.4       0.0000       0.0000       0.0000       121.58      -65.630      -132.36      -1719.8      -1002.3    
  340.0000000       1.0000       0.0000       0.0000       2807.5       0.0000       0.0000       0.0000       117.53      -65.682      -132.36      -1724.0      -1003.0    
  340.0000000       1.0000       0.0000       0.0000       2807.5       0.0000       0.0000       0.0000       117.53      -65.682      -132.36      -1724.0      -1003.0    
  340.2001218       1.0000       0.0000       0.0000       2813.6       0.0000       0.0000       0.0000       114.69      -65.663      -132.36      -1727.1      -1003.2    
  340.4002436       1.0000       0.0000       0.0000       2819.2       0.0000       0.0000       0.0000       111.94      -65.616      -132.36      -1730.1      -1003.0    
  340.4264857       1.0000       0.0000       0.0000       2819.9       0.0000       0.0000       0.0000       111.59      -65.610      -132.36      -1730.5      -1003.0    
  340.4789699       1.0000       0.0000       0.0000       2821.4       0.0000       0.0000       0.0000       110.87      -65.598      -132.36      -1731.3      -1003.0    
  340.4789699       1.0000       0.0000       0.0000       2821.4       0.0000       0.0000       0.0000       110.87      -65.598      -132.36      -1731.3      -1003.0    
  340.6390673       1.0000       0.0000       0.0000       2825.6       0.0000       0.0000       0.0000       108.77      -65.562      -132.36      -1733.8      -1002.7    
  340.7991647       1.0000       0.0000       0.0000       2829.6       0.0000       0.0000       0.0000       106.72      -65.526      -132.37      -1736.2      -1002.3    
  341.0000000       1.0000       0.0000       0.0000       2834.5       0.0000       0.0000       0.0000       104.24      -65.482      -132.37      -1739.2      -1001.7    
  341.0000000       1.0000       0.0000       0.0000       2834.5       0.0000       0.0000       0.0000       104.24      -65.482      -132.37      -1739.2      -1001.7    
  341.0334978       1.0000       0.0000       0.0000       2835.3       0.0000       0.0000       0.0000       103.83      -65.475      -132.37      -1739.6      -1001.6    
  341.0669955       1.0000       0.0000       0.0000       2836.1       0.0000       0.0000       0.0000       103.42      -65.468      -132.37      -1740.1      -1001.5    
  341.0986329       1.0000       0.0000       0.0000       2836.8       0.0000       0.0000       0.0000       103.03      -65.444      -132.37      -1740.6      -1001.4    
  341.1209903       1.0000       0.0000       0.0000       2837.3       0.0000       0.0000       0.0000       102.76      -65.427      -132.37      -1740.9      -1001.3    
  341.1405617       1.0000       0.0000       0.0000       2837.7       0.0000       0.0000       0.0000       102.52      -65.413      -132.37      -1741.2      -1001.2    
  341.1612116       1.0000       0.0000       0.0000       2838.2       0.0000       0.0000       0.0000       102.28      -65.397      -132.37      -1741.5      -1001.1    
  341.1798055       1.0000       0.0000       0.0000       2838.6       0.0000       0.0000       0.0000       102.06      -65.383      -132.37      -1741.8      -1001.1    
  341.1984890       1.0000       0.0000       0.0000       2838.9       0.0000       0.0000       0.0000       101.84      -65.369      -132.37      -1742.1      -1001.0    
  341.2164927       1.0000       0.0000       0.0000       2839.3       0.0000       0.0000       0.0000       101.62      -65.355      -132.37      -1742.3      -1000.9    
  341.2347019       1.0000       0.0000       0.0000       2839.7       0.0000       0.0000       0.0000       101.41      -65.342      -132.37      -1742.6      -1000.8    
  341.2529417       1.0000       0.0000       0.0000       2840.0       0.0000       0.0000       0.0000       101.19      -65.328      -132.37      -1742.9      -1000.7    
  341.2719537       1.0000       0.0000       0.0000       2840.4       0.0000       0.0000       0.0000       100.97      -65.314      -132.37      -1743.2      -1000.5    
  341.2926427       1.0000       0.0000       0.0000       2840.8       0.0000       0.0000       0.0000       100.72      -65.298      -132.37      -1743.5      -1000.4    
  341.3153501       1.0000       0.0000       0.0000       2841.2       0.0000       0.0000       0.0000       100.46      -65.281      -132.37      -1743.8      -1000.3    
  341.3408346       1.0000       0.0000       0.0000       2841.7       0.0000       0.0000       0.0000       100.16      -65.262      -132.37      -1744.2      -1000.1    
  341.3695986       1.0000       0.0000       0.0000       2842.2       0.0000       0.0000       0.0000       99.827      -65.241      -132.37      -1744.6      -999.86    
