#      time         order        qbridges     qcdwalls2z   qdaylite     qequip2zon   qhc2zone     qlcwinds2z   qlite        qloss        qocc2zone    qterm2zone
  336.0000000       1.0000       0.0000      -1346.0       0.0000       0.0000       1638.3      -95.429       0.0000       0.0000       0.0000      -201.18    
  336.0277111       1.0000       0.0000      -1347.7       0.0000       0.0000       1640.0      -95.450       0.0000       0.0000       0.0000      -201.25    
  336.0554222       1.0000       0.0000      -1349.3       0.0000       0.0000       1641.7      -95.471       0.0000       0.0000       0.0000      -201.29    
  336.0682198       1.0000       0.0000      -1350.1       0.0000       0.0000       1642.4      -95.480       0.0000       0.0000       0.0000      -201.30    
  336.0682198       1.0000       0.0000      -1350.1       0.0000       0.0000       1642.4      -95.480       0.0000       0.0000       0.0000      -201.30    
  336.0903887       1.0000       0.0000      -1351.4       0.0000       0.0000       1643.8      -95.496       0.0000       0.0000       0.0000      -201.29    
  336.1125575       1.0000       0.0000      -1352.6       0.0000       0.0000       1645.1      -95.512       0.0000       0.0000       0.0000      -201.28    
  336.1568953       1.0000       0.0000      -1355.2       0.0000       0.0000       1647.7      -95.542       0.0000       0.0000       0.0000      -201.25    
  336.2455708       1.0000       0.0000      -1360.2       0.0000       0.0000       1652.8      -95.601       0.0000       0.0000       0.0000      -201.21    
  336.4229219       1.0000       0.0000      -1369.9       0.0000       0.0000       1662.6      -95.702       0.0000       0.0000       0.0000      -201.15    
  336.7776240       1.0000       0.0000      -1387.9       0.0000       0.0000       1681.0      -95.886       0.0000       0.0000       0.0000      -201.10    
  337.0000000       1.0000       0.0000      -1398.8       0.0000       0.0000       1692.0      -95.997       0.0000       0.0000       0.0000      -201.08    
  337.0000000       1.0000       0.0000      -1398.8       0.0000       0.0000       1692.0      -95.997       0.0000       0.0000       0.0000      -201.08    
  337.2837617       1.0000       0.0000      -1411.9       0.0000       0.0000       1705.4      -96.122       0.0000       0.0000       0.0000      -200.92    
  337.5675234       1.0000       0.0000      -1424.4       0.0000       0.0000       1718.0      -96.235       0.0000       0.0000       0.0000      -200.76    
  338.0000000       1.0000       0.0000      -1442.1       0.0000       0.0000       1736.1      -96.395       0.0000       0.0000       0.0000      -200.63    
  338.0000000       1.0000       0.0000      -1442.1       0.0000       0.0000       1736.1      -96.395       0.0000       0.0000       0.0000      -200.63    
  338.2270094       1.0000       0.0000      -1451.1       0.0000       0.0000       1745.2      -96.477       0.0000       0.0000       0.0000      -200.59    
  338.4540187       1.0000       0.0000      -1459.8       0.0000       0.0000       1754.1      -96.559       0.0000       0.0000       0.0000      -200.56    
  338.9080375       1.0000       0.0000      -1476.2       0.0000       0.0000       1770.7      -96.722       0.0000       0.0000       0.0000      -200.57    
  339.0000000       1.0000       0.0000      -1479.4       0.0000       0.0000       1774.0      -96.755       0.0000       0.0000       0.0000      -200.57    
  339.0000000       1.0000       0.0000      -1479.4       0.0000       0.0000       1774.0      -96.755       0.0000       0.0000       0.0000      -200.57    
  339.3632150       1.0000       0.0000      -1491.7       0.0000       0.0000       1786.5      -96.864       0.0000       0.0000       0.0000      -200.39    
  339.7264300       1.0000       0.0000      -1503.4       0.0000       0.0000       1798.4      -96.958       0.0000       0.0000       0.0000      -200.23    
  340.0000000       1.0000       0.0000      -1512.0       0.0000       0.0000       1807.0      -97.025       0.0000       0.0000       0.0000      -200.15    
  340.0000000       1.0000       0.0000      -1512.0       0.0000       0.0000       1807.0      -97.025       0.0000       0.0000       0.0000      -200.15    
  340.2001218       1.0000       0.0000      -1518.0       0.0000       0.0000       1813.1      -97.044       0.0000       0.0000       0.0000      -199.68    
  340.4002436       1.0000       0.0000      -1524.0       0.0000       0.0000       1819.0      -97.032       0.0000       0.0000       0.0000      -199.08    
  340.4264857       1.0000       0.0000      -1524.7       0.0000       0.0000       1819.7      -97.030       0.0000       0.0000       0.0000      -199.00    
  340.4789699       1.0000       0.0000      -1526.3       0.0000       0.0000       1821.3      -97.025       0.0000       0.0000       0.0000      -198.85    
  340.4789699       1.0000       0.0000      -1526.3       0.0000       0.0000       1821.3      -97.025       0.0000       0.0000       0.0000      -198.85    
  340.6390673       1.0000       0.0000      -1530.9       0.0000       0.0000       1825.8      -96.995       0.0000       0.0000       0.0000      -198.45    
  340.7991647       1.0000       0.0000      -1535.4       0.0000       0.0000       1830.3      -96.958       0.0000       0.0000       0.0000      -198.11    
  341.0000000       1.0000       0.0000      -1540.9       0.0000       0.0000       1835.7      -96.906       0.0000       0.0000       0.0000      -197.75    
  341.0000000       1.0000       0.0000      -1540.9       0.0000       0.0000       1835.7      -96.906       0.0000       0.0000       0.0000      -197.75    
  341.0334978       1.0000       0.0000      -1541.9       0.0000       0.0000       1836.6      -96.897       0.0000       0.0000       0.0000      -197.69    
  341.0669955       1.0000       0.0000      -1542.8       0.0000       0.0000       1837.5      -96.888       0.0000       0.0000       0.0000      -197.63    
  341.0986329       1.0000       0.0000      -1543.6       0.0000       0.0000       1838.3      -96.876       0.0000       0.0000       0.0000      -197.44    
  341.1209903       1.0000       0.0000      -1544.2       0.0000       0.0000       1838.9      -96.867       0.0000       0.0000       0.0000      -197.30    
  341.1405617       1.0000       0.0000      -1544.8       0.0000       0.0000       1839.4      -96.859       0.0000       0.0000       0.0000      -197.18    
  341.1612116       1.0000       0.0000      -1545.3       0.0000       0.0000       1839.9      -96.850       0.0000       0.0000       0.0000      -197.06    
  341.1798055       1.0000       0.0000      -1545.8       0.0000       0.0000       1840.4      -96.842       0.0000       0.0000       0.0000      -196.95    
  341.1984890       1.0000       0.0000      -1546.3       0.0000       0.0000       1840.9      -96.833       0.0000       0.0000       0.0000      -196.84    
  341.2164927       1.0000       0.0000      -1546.8       0.0000       0.0000       1841.3      -96.823       0.0000       0.0000       0.0000      -196.74    
  341.2347019       1.0000       0.0000      -1547.3       0.0000       0.0000       1841.8      -96.814       0.0000       0.0000       0.0000      -196.64    
  341.2529417       1.0000       0.0000      -1547.8       0.0000       0.0000       1842.3      -96.803       0.0000       0.0000       0.0000      -196.54    
  341.2719537       1.0000       0.0000      -1548.3       0.0000       0.0000       1842.7      -96.792       0.0000       0.0000       0.0000      -196.43    
  341.2926427       1.0000       0.0000      -1548.8       0.0000       0.0000       1843.3      -96.780       0.0000       0.0000       0.0000      -196.32    
  341.3153501       1.0000       0.0000      -1549.4       0.0000       0.0000       1843.8      -96.765       0.0000       0.0000       0.0000      -196.20    
  341.3408346       1.0000       0.0000      -1550.1       0.0000       0.0000       1844.5      -96.748       0.0000       0.0000       0.0000      -196.07    
  341.3695986       1.0000       0.0000      -1550.8       0.0000       0.0000       1845.2      -96.728       0.0000       0.0000       0.0000      -195.93    
  341.4029150       1.0000       0.0000      -1551.7       0.0000       0.0000       1846.0      -96.704       0.0000       0.0000       0.0000      -195.77    
  341.4420061       1.0000       0.0000      -1552.7       0.0000       0.0000       1846.9      -96.674       0.0000       0.0000       0.0000      -195.58    
  341.4891999       1.0000       0.0000      -1553.9       0.0000       0.0000       1848.1      -96.637       0.0000       0.0000       0.0000      -195.37    
  341.5478014       1.0000       0.0000      -1555.4       0.0000       0.0000       1849.5      -96.589       0.0000       0.0000       0.0000      -195.12    
  341.6239840       1.0000       0.0000      -1557.4       0.0000       0.0000       1851.3      -96.524       0.0000       0.0000       0.0000      -194.81    
