#      time         order        pmv_1        ppd_1     
  336.0000000       1.0000       0.0000       0.0000    
  336.0277111       1.0000       0.0000       0.0000    
  336.0554222       1.0000       0.0000       0.0000    
  336.0682198       1.0000       0.0000       0.0000    
  336.0682198       1.0000       0.0000       0.0000    
  336.0903887       1.0000       0.0000       0.0000    
  336.1125575       1.0000       0.0000       0.0000    
  336.1568953       1.0000       0.0000       0.0000    
  336.2455708       1.0000       0.0000       0.0000    
  336.4229219       1.0000       0.0000       0.0000    
  336.7776240       1.0000       0.0000       0.0000    
  337.0000000       1.0000       0.0000       0.0000    
  337.0000000       1.0000       0.0000       0.0000    
  337.2837617       1.0000       0.0000       0.0000    
  337.5675234       1.0000       0.0000       0.0000    
  338.0000000       1.0000       0.0000       0.0000    
  338.0000000       1.0000       0.0000       0.0000    
  338.2270094       1.0000       0.0000       0.0000    
  338.4540187       1.0000       0.0000       0.0000    
  338.9080375       1.0000       0.0000       0.0000    
  339.0000000       1.0000       0.0000       0.0000    
  339.0000000       1.0000       0.0000       0.0000    
  339.3632150       1.0000       0.0000       0.0000    
  339.7264300       1.0000       0.0000       0.0000    
  340.0000000       1.0000       0.0000       0.0000    
  340.0000000       1.0000       0.0000       0.0000    
  340.2001218       1.0000       0.0000       0.0000    
  340.4002436       1.0000       0.0000       0.0000    
  340.4264857       1.0000       0.0000       0.0000    
  340.4789699       1.0000       0.0000       0.0000    
  340.4789699       1.0000       0.0000       0.0000    
  340.6390673       1.0000       0.0000       0.0000    
  340.7991647       1.0000       0.0000       0.0000    
  341.0000000       1.0000       0.0000       0.0000    
  341.0000000       1.0000       0.0000       0.0000    
  341.0334978       1.0000       0.0000       0.0000    
  341.0669955       1.0000       0.0000       0.0000    
  341.0986329       1.0000       0.0000       0.0000    
  341.1209903       1.0000       0.0000       0.0000    
  341.1405617       1.0000       0.0000       0.0000    
  341.1612116       1.0000       0.0000       0.0000    
  341.1798055       1.0000       0.0000       0.0000    
  341.1984890       1.0000       0.0000       0.0000    
  341.2164927       1.0000       0.0000       0.0000    
  341.2347019       1.0000       0.0000       0.0000    
  341.2529417       1.0000       0.0000       0.0000    
  341.2719537       1.0000       0.0000       0.0000    
  341.2926427       1.0000       0.0000       0.0000    
  341.3153501       1.0000       0.0000       0.0000    
  341.3408346       1.0000       0.0000       0.0000    
  341.3695986       1.0000       0.0000       0.0000    
  341.4029150       1.0000       0.0000       0.0000    
  341.4420061       1.0000       0.0000       0.0000    
  341.4891999       1.0000       0.0000       0.0000    
  341.5478014       1.0000       0.0000       0.0000    
  341.6239840       1.0000       0.0000       0.0000    
  341.7273979       1.0000       0.0000       0.0000    
  341.8824781       1.0000     -0.96360       24.613    
  342.0000000       1.0000     -0.95883       24.419    
  342.0000000       1.0000     -0.96128       24.518    
  342.0253099       1.0000     -0.96130       24.519    
  342.0506198       1.0000     -0.96132       24.520    
  342.1012396       1.0000     -0.96136       24.521    
  342.2024792       1.0000     -0.96141       24.523    
  342.4049584       1.0000     -0.96143       24.524    
  342.8099168       1.0000     -0.96124       24.516    
  343.0000000       1.0000     -0.96113       24.512    
  343.0000000       1.0000     -0.96113       24.512    
  343.0343974       1.0000     -0.66750       14.362    
  343.0687947       1.0000     -0.60233       12.608    
  343.1011975       1.0000     -0.63147       13.369    
  343.1334790       1.0000     -0.67606       14.606    
  343.1755055       1.0000     -0.70016       15.310    
  343.2407045       1.0000     -0.69635       15.197    
  343.3212849       1.0000     -0.68918       14.986    
  343.4507502       1.0000     -0.68590       14.890    
  343.6548670       1.0000     -0.68278       14.800    
  344.0000000       1.0000     -0.67808       14.664    
  344.0000000       1.0000     -0.67808       14.664    
  344.0275179       1.0000     -0.67771       14.653    
  344.0550358       1.0000     -0.67734       14.642    
  344.1100716       1.0000     -0.67662       14.622    
  344.2201431       1.0000     -0.67526       14.583    
  344.4402862       1.0000     -0.67284       14.513    
  344.8805725       1.0000     -0.66885       14.400    
  345.0000000       1.0000     -0.66782       14.371    
  345.0000000       1.0000     -0.66782       14.371    
  345.3522290       1.0000     -0.66520       14.297    
  345.7044580       1.0000     -0.66291       14.232    
  346.0000000       1.0000     -0.66129       14.186    
  346.0000000       1.0000     -0.66129       14.186    
  346.2817832       1.0000     -0.65993       14.148    
  346.5635664       1.0000     -0.65869       14.114    
  347.0000000       1.0000     -0.65700       14.066    
  347.0000000       1.0000     -0.65700       14.066    
  347.2254266       1.0000     -0.65618       14.044    
  347.4508531       1.0000     -0.65540       14.022    
  347.9017062       1.0000     -0.65400       13.983    
