#      time         order        q_cool       q_equip      q_heat       q_light      q_loss       q_occ        qintw        ql_a         qventil      qwcb         qwind     
  336.0000000       1.0000       0.0000       0.0000       2256.7       0.0000       0.0000       0.0000       214.77      -64.509      -132.35      -1661.9      -612.73    
  336.0277111       1.0000       0.0000       0.0000       2258.4       0.0000       0.0000       0.0000       213.67      -64.526      -132.35      -1662.3      -612.86    
  336.0554222       1.0000       0.0000       0.0000       2260.1       0.0000       0.0000       0.0000       212.58      -64.543      -132.35      -1662.8      -613.00    
  336.0682198       1.0000       0.0000       0.0000       2260.9       0.0000       0.0000       0.0000       212.08      -64.550      -132.35      -1663.0      -613.06    
  336.0682198       1.0000       0.0000       0.0000       2260.9       0.0000       0.0000       0.0000       212.08      -64.550      -132.35      -1663.0      -613.06    
  336.0903887       1.0000       0.0000       0.0000       2262.2       0.0000       0.0000       0.0000       211.21      -64.559      -132.35      -1663.4      -613.16    
  336.1125575       1.0000       0.0000       0.0000       2263.6       0.0000       0.0000       0.0000       210.36      -64.567      -132.35      -1663.7      -613.26    
  336.1568953       1.0000       0.0000       0.0000       2266.2       0.0000       0.0000       0.0000       208.67      -64.584      -132.35      -1664.5      -613.46    
  336.2455708       1.0000       0.0000       0.0000       2271.4       0.0000       0.0000       0.0000       205.34      -64.618      -132.35      -1666.0      -613.84    
  336.4229219       1.0000       0.0000       0.0000       2281.4       0.0000       0.0000       0.0000       199.09      -64.685      -132.35      -1668.9      -614.50    
  336.7776240       1.0000       0.0000       0.0000       2299.9       0.0000       0.0000       0.0000       187.74      -64.822      -132.36      -1674.8      -615.70    
  337.0000000       1.0000       0.0000       0.0000       2311.1       0.0000       0.0000       0.0000       181.06      -64.908      -132.36      -1678.4      -616.42    
  337.0000000       1.0000       0.0000       0.0000       2311.1       0.0000       0.0000       0.0000       181.06      -64.908      -132.36      -1678.4      -616.42    
  337.2837617       1.0000       0.0000       0.0000       2324.5       0.0000       0.0000       0.0000       173.15      -64.994      -132.36      -1683.1      -617.23    
  337.5675234       1.0000       0.0000       0.0000       2337.4       0.0000       0.0000       0.0000       165.80      -65.075      -132.36      -1687.8      -617.96    
  338.0000000       1.0000       0.0000       0.0000       2355.6       0.0000       0.0000       0.0000       155.70      -65.198      -132.36      -1694.8      -619.00    
  338.0000000       1.0000       0.0000       0.0000       2355.6       0.0000       0.0000       0.0000       155.70      -65.198      -132.36      -1694.8      -619.00    
  338.2270094       1.0000       0.0000       0.0000       2364.9       0.0000       0.0000       0.0000       150.68      -65.264      -132.36      -1698.4      -619.54    
  338.4540187       1.0000       0.0000       0.0000       2373.9       0.0000       0.0000       0.0000       145.93      -65.329      -132.36      -1702.1      -620.07    
  338.9080375       1.0000       0.0000       0.0000       2391.0       0.0000       0.0000       0.0000       137.31      -65.461      -132.36      -1709.3      -621.12    
  339.0000000       1.0000       0.0000       0.0000       2394.4       0.0000       0.0000       0.0000       135.60      -65.488      -132.36      -1710.8      -621.34    
  339.0000000       1.0000       0.0000       0.0000       2394.4       0.0000       0.0000       0.0000       135.60      -65.488      -132.36      -1710.8      -621.34    
  339.3632150       1.0000       0.0000       0.0000       2407.1       0.0000       0.0000       0.0000       129.36      -65.562      -132.36      -1716.5      -622.05    
  339.7264300       1.0000       0.0000       0.0000       2419.3       0.0000       0.0000       0.0000       123.56      -65.630      -132.36      -1722.2      -622.66    
  340.0000000       1.0000       0.0000       0.0000       2428.1       0.0000       0.0000       0.0000       119.42      -65.682      -132.36      -1726.4      -623.09    
  340.0000000       1.0000       0.0000       0.0000       2428.1       0.0000       0.0000       0.0000       119.42      -65.682      -132.36      -1726.4      -623.09    
  340.2001218       1.0000       0.0000       0.0000       2434.2       0.0000       0.0000       0.0000       116.52      -65.663      -132.36      -1729.5      -623.22    
  340.4002436       1.0000       0.0000       0.0000       2439.9       0.0000       0.0000       0.0000       113.72      -65.616      -132.36      -1732.5      -623.14    
  340.4264857       1.0000       0.0000       0.0000       2440.6       0.0000       0.0000       0.0000       113.36      -65.610      -132.36      -1732.9      -623.13    
