#      time         order        qbridges     qcdwalls2z   qdaylite     qequip2zon   qhc2zone     qlcwinds2z   qlite        qloss        qocc2zone    qterm2zone
  336.0000000       1.0000       0.0000      -1375.6       0.0000       0.0000       1572.5       0.0000       0.0000       0.0000       0.0000      -201.18    
  336.0277111       1.0000       0.0000      -1377.2       0.0000       0.0000       1574.1       0.0000       0.0000       0.0000       0.0000      -201.25    
  336.0554222       1.0000       0.0000      -1378.7       0.0000       0.0000       1575.6       0.0000       0.0000       0.0000       0.0000      -201.29    
  336.0682198       1.0000       0.0000      -1379.4       0.0000       0.0000       1576.3       0.0000       0.0000       0.0000       0.0000      -201.31    
  336.0682198       1.0000       0.0000      -1379.4       0.0000       0.0000       1576.3       0.0000       0.0000       0.0000       0.0000      -201.31    
  336.0903887       1.0000       0.0000      -1380.7       0.0000       0.0000       1577.6       0.0000       0.0000       0.0000       0.0000      -201.29    
  336.1125575       1.0000       0.0000      -1381.9       0.0000       0.0000       1578.8       0.0000       0.0000       0.0000       0.0000      -201.28    
  336.1568953       1.0000       0.0000      -1384.3       0.0000       0.0000       1581.2       0.0000       0.0000       0.0000       0.0000      -201.26    
  336.2455708       1.0000       0.0000      -1389.1       0.0000       0.0000       1586.0       0.0000       0.0000       0.0000       0.0000      -201.21    
  336.4229219       1.0000       0.0000      -1398.2       0.0000       0.0000       1595.2       0.0000       0.0000       0.0000       0.0000      -201.15    
  336.7776240       1.0000       0.0000      -1415.2       0.0000       0.0000       1612.4       0.0000       0.0000       0.0000       0.0000      -201.10    
  337.0000000       1.0000       0.0000      -1425.5       0.0000       0.0000       1622.8       0.0000       0.0000       0.0000       0.0000      -201.08    
  337.0000000       1.0000       0.0000      -1425.5       0.0000       0.0000       1622.8       0.0000       0.0000       0.0000       0.0000      -201.08    
  337.2837617       1.0000       0.0000      -1437.9       0.0000       0.0000       1635.3       0.0000       0.0000       0.0000       0.0000      -200.92    
  337.5675234       1.0000       0.0000      -1449.8       0.0000       0.0000       1647.2       0.0000       0.0000       0.0000       0.0000      -200.77    
  338.0000000       1.0000       0.0000      -1466.7       0.0000       0.0000       1664.2       0.0000       0.0000       0.0000       0.0000      -200.63    
  338.0000000       1.0000       0.0000      -1466.7       0.0000       0.0000       1664.2       0.0000       0.0000       0.0000       0.0000      -200.63    
  338.2270094       1.0000       0.0000      -1475.3       0.0000       0.0000       1672.9       0.0000       0.0000       0.0000       0.0000      -200.59    
  338.4540187       1.0000       0.0000      -1483.6       0.0000       0.0000       1681.3       0.0000       0.0000       0.0000       0.0000      -200.56    
  338.9080375       1.0000       0.0000      -1499.2       0.0000       0.0000       1697.1       0.0000       0.0000       0.0000       0.0000      -200.57    
  339.0000000       1.0000       0.0000      -1502.4       0.0000       0.0000       1700.2       0.0000       0.0000       0.0000       0.0000      -200.57    
  339.0000000       1.0000       0.0000      -1502.4       0.0000       0.0000       1700.2       0.0000       0.0000       0.0000       0.0000      -200.57    
  339.3632150       1.0000       0.0000      -1514.2       0.0000       0.0000       1712.1       0.0000       0.0000       0.0000       0.0000      -200.39    
  339.7264300       1.0000       0.0000      -1525.5       0.0000       0.0000       1723.5       0.0000       0.0000       0.0000       0.0000      -200.24    
  340.0000000       1.0000       0.0000      -1533.8       0.0000       0.0000       1731.8       0.0000       0.0000       0.0000       0.0000      -200.15    
  340.0000000       1.0000       0.0000      -1533.8       0.0000       0.0000       1731.8       0.0000       0.0000       0.0000       0.0000      -200.15    
  340.2001218       1.0000       0.0000      -1539.7       0.0000       0.0000       1737.7       0.0000       0.0000       0.0000       0.0000      -199.69    
  340.4002436       1.0000       0.0000      -1545.4       0.0000       0.0000       1743.4       0.0000       0.0000       0.0000       0.0000      -199.08    
  340.4264857       1.0000       0.0000      -1546.2       0.0000       0.0000       1744.2       0.0000       0.0000       0.0000       0.0000      -199.00    
  340.4789699       1.0000       0.0000      -1547.7       0.0000       0.0000       1745.6       0.0000       0.0000       0.0000       0.0000      -198.85    
  340.4789699       1.0000       0.0000      -1547.7       0.0000       0.0000       1745.6       0.0000       0.0000       0.0000       0.0000      -198.85    
  340.6390673       1.0000       0.0000      -1552.2       0.0000       0.0000       1750.1       0.0000       0.0000       0.0000       0.0000      -198.45    
  340.7991647       1.0000       0.0000      -1556.6       0.0000       0.0000       1754.5       0.0000       0.0000       0.0000       0.0000      -198.11    
  341.0000000       1.0000       0.0000      -1562.0       0.0000       0.0000       1759.8       0.0000       0.0000       0.0000       0.0000      -197.75    
  341.0000000       1.0000       0.0000      -1562.0       0.0000       0.0000       1759.8       0.0000       0.0000       0.0000       0.0000      -197.75    
  341.0334978       1.0000       0.0000      -1562.9       0.0000       0.0000       1760.7       0.0000       0.0000       0.0000       0.0000      -197.69    
  341.0669955       1.0000       0.0000      -1563.8       0.0000       0.0000       1761.6       0.0000       0.0000       0.0000       0.0000      -197.63    
  341.0986329       1.0000       0.0000      -1564.6       0.0000       0.0000       1762.4       0.0000       0.0000       0.0000       0.0000      -197.44    
  341.1209903       1.0000       0.0000      -1565.2       0.0000       0.0000       1763.0       0.0000       0.0000       0.0000       0.0000      -197.30    
  341.1405617       1.0000       0.0000      -1565.7       0.0000       0.0000       1763.5       0.0000       0.0000       0.0000       0.0000      -197.18    
  341.1612116       1.0000       0.0000      -1566.3       0.0000       0.0000       1764.0       0.0000       0.0000       0.0000       0.0000      -197.06    
  341.1798055       1.0000       0.0000      -1566.8       0.0000       0.0000       1764.5       0.0000       0.0000       0.0000       0.0000      -196.95    
  341.1984890       1.0000       0.0000      -1567.2       0.0000       0.0000       1765.0       0.0000       0.0000       0.0000       0.0000      -196.84    
  341.2164927       1.0000       0.0000      -1567.7       0.0000       0.0000       1765.4       0.0000       0.0000       0.0000       0.0000      -196.74    
  341.2347019       1.0000       0.0000      -1568.2       0.0000       0.0000       1765.9       0.0000       0.0000       0.0000       0.0000      -196.64    
  341.2529417       1.0000       0.0000      -1568.7       0.0000       0.0000       1766.4       0.0000       0.0000       0.0000       0.0000      -196.54    
  341.2719537       1.0000       0.0000      -1569.2       0.0000       0.0000       1766.8       0.0000       0.0000       0.0000       0.0000      -196.43    
  341.2926427       1.0000       0.0000      -1569.7       0.0000       0.0000       1767.4       0.0000       0.0000       0.0000       0.0000      -196.32    
  341.3153501       1.0000       0.0000      -1570.3       0.0000       0.0000       1767.9       0.0000       0.0000       0.0000       0.0000      -196.20    
  341.3408346       1.0000       0.0000      -1570.9       0.0000       0.0000       1768.6       0.0000       0.0000       0.0000       0.0000      -196.07    
  341.3695986       1.0000       0.0000      -1571.7       0.0000       0.0000       1769.3       0.0000       0.0000       0.0000       0.0000      -195.93    
  341.4029150       1.0000       0.0000      -1572.5       0.0000       0.0000       1770.1       0.0000       0.0000       0.0000       0.0000      -195.77    
  341.4420061       1.0000       0.0000      -1573.5       0.0000       0.0000       1771.1       0.0000       0.0000       0.0000       0.0000      -195.58    
  341.4891999       1.0000       0.0000      -1574.7       0.0000       0.0000       1772.2       0.0000       0.0000       0.0000       0.0000      -195.37    
  341.5478014       1.0000       0.0000      -1576.2       0.0000       0.0000       1773.7       0.0000       0.0000       0.0000       0.0000      -195.12    
  341.6239840       1.0000       0.0000      -1578.1       0.0000       0.0000       1775.5       0.0000       0.0000       0.0000       0.0000      -194.81    
  341.7273979       1.0000       0.0000      -1580.6       0.0000       0.0000       1778.0       0.0000       0.0000       0.0000       0.0000      -194.42    
  341.8824781       1.0000       0.0000      -1584.4       0.0000       0.0000       1781.7       0.0000       0.0000       0.0000      1.81675E-06  -193.90    
  342.0000000       1.0000       0.0000      -1587.2       0.0000       0.0000       1784.4       0.0000       0.0000       0.0000      4.41206E-06  -193.54    
