#      time         order        tairmean     top       
  336.0000000       1.0000       19.000       18.132    
  336.0277111       1.0000       19.000       18.131    
  336.0554222       1.0000       19.000       18.131    
  336.0682198       1.0000       19.000       18.131    
  336.0682198       1.0000       19.000       18.131    
  336.0903887       1.0000       19.000       18.130    
  336.1125575       1.0000       19.000       18.130    
  336.1568953       1.0000       19.000       18.129    
  336.2455708       1.0000       19.000       18.127    
  336.4229219       1.0000       19.000       18.124    
  336.7776240       1.0000       19.000       18.119    
  337.0000000       1.0000       19.000       18.116    
  337.0000000       1.0000       19.000       18.116    
  337.2837617       1.0000       19.000       18.111    
  337.5675234       1.0000       19.000       18.108    
  338.0000000       1.0000       19.000       18.102    
  338.0000000       1.0000       19.000       18.102    
  338.2270094       1.0000       19.000       18.099    
  338.4540187       1.0000       19.000       18.096    
  338.9080375       1.0000       19.000       18.091    
  339.0000000       1.0000       19.000       18.090    
  339.0000000       1.0000       19.000       18.090    
  339.3632150       1.0000       19.000       18.086    
  339.7264300       1.0000       19.000       18.082    
  340.0000000       1.0000       19.000       18.079    
  340.0000000       1.0000       19.000       18.079    
  340.2001218       1.0000       19.000       18.077    
  340.4002436       1.0000       19.000       18.075    
  340.4264857       1.0000       19.000       18.075    
  340.4789699       1.0000       19.000       18.074    
  340.4789699       1.0000       19.000       18.074    
  340.6390673       1.0000       19.000       18.073    
  340.7991647       1.0000       19.000       18.071    
  341.0000000       1.0000       19.000       18.069    
  341.0000000       1.0000       19.000       18.069    
  341.0334978       1.0000       19.000       18.069    
  341.0669955       1.0000       19.000       18.069    
  341.0986329       1.0000       19.000       18.068    
  341.1209903       1.0000       19.000       18.068    
  341.1405617       1.0000       19.000       18.068    
  341.1612116       1.0000       19.000       18.068    
  341.1798055       1.0000       19.000       18.068    
  341.1984890       1.0000       19.000       18.067    
  341.2164927       1.0000       19.000       18.067    
  341.2347019       1.0000       19.000       18.067    
  341.2529417       1.0000       19.000       18.067    
  341.2719537       1.0000       19.000       18.067    
  341.2926427       1.0000       19.000       18.067    
  341.3153501       1.0000       19.000       18.066    
  341.3408346       1.0000       19.000       18.066    
  341.3695986       1.0000       19.000       18.066    
  341.4029150       1.0000       19.000       18.066    
  341.4420061       1.0000       19.000       18.065    
  341.4891999       1.0000       19.000       18.065    
  341.5478014       1.0000       19.000       18.064    
  341.6239840       1.0000       19.000       18.063    
  341.7273979       1.0000       19.000       18.063    
  341.8824781       1.0000       19.000       18.061    
  342.0000000       1.0000       19.000       18.060    
  342.0000000       1.0000       19.000       18.060    
  342.0253099       1.0000       19.000       18.060    
  342.0506198       1.0000       19.000       18.060    
  342.1012396       1.0000       19.000       18.059    
  342.2024792       1.0000       19.000       18.058    
  342.4049584       1.0000       19.000       18.056    
  342.8099168       1.0000       19.000       18.053    
  343.0000000       1.0000       19.000       18.052    
  343.0000000       1.0000       19.000       18.052    
  343.0343953       1.0000       20.194       19.831    
  343.0687906       1.0000       21.045       20.251    
  343.1011780       1.0000       21.287       20.024    
  343.1334435       1.0000       21.206       19.723    
  343.1754500       1.0000       21.045       19.568    
  343.2406228       1.0000       20.981       19.597    
  343.3212050       1.0000       20.994       19.644    
  343.4506987       1.0000       21.003       19.664    
  343.6548112       1.0000       21.003       19.683    
  344.0000000       1.0000       21.002       19.713    
  344.0000000       1.0000       21.002       19.713    
  344.0275162       1.0000       21.002       19.715    
  344.0550325       1.0000       21.002       19.718    
  344.1100650       1.0000       21.002       19.722    
  344.2201299       1.0000       21.002       19.731    
  344.4402598       1.0000       21.002       19.747    
  344.8805197       1.0000       21.001       19.774    
  345.0000000       1.0000       21.001       19.781    
  345.0000000       1.0000       21.001       19.781    
  345.3522079       1.0000       21.001       19.798    
  345.7044157       1.0000       21.001       19.811    
  346.0000000       1.0000       21.001       19.822    
  346.0000000       1.0000       21.001       19.822    
  346.2817663       1.0000       21.001       19.831    
  346.5635326       1.0000       21.001       19.839    
  347.0000000       1.0000       21.001       19.850    
  347.0000000       1.0000       21.001       19.850    
  347.2254130       1.0000       21.001       19.856    
  347.4508261       1.0000       21.000       19.861    
  347.9016521       1.0000       21.000       19.871    
  348.0000000       1.0000       21.000       19.873    
  348.0000000       1.0000       21.000       19.873    
  348.3606609       1.0000       21.000       19.879    
  348.7213217       1.0000       21.000       19.886    
  349.0000000       1.0000       21.000       19.891    
  349.0000000       1.0000       21.000       19.891    
  349.2885287       1.0000       21.000       19.895    
  349.5770574       1.0000       21.000       19.900    
  350.0000000       1.0000       21.000       19.906    
  350.0000000       1.0000       21.000       19.906    
  350.2308229       1.0000       21.000       19.909    
  350.4616459       1.0000       21.000       19.913    
  350.9232918       1.0000       21.000       19.919    
  351.0000000       1.0000       21.000       19.920    
  351.0000000       1.0000       21.000       19.920    
  351.3693167       1.0000       21.000       19.925    
  351.7386334       1.0000       21.000       19.929    
  352.0000000       1.0000       21.000       19.932    
  352.0000000       1.0000       21.000       19.932    
  352.2954534       1.0000       21.000       19.936    
  352.5909067       1.0000       21.000       19.939    
  353.0000000       1.0000       21.000       19.943    
  353.0000000       1.0000       21.000       19.943    
  353.2363627       1.0000       21.000       19.945    
  353.4727254       1.0000       21.000       19.948    
  353.9454508       1.0000       21.000       19.952    
  354.0000000       1.0000       21.000       19.952    
  354.0000000       1.0000       21.000       19.952    
  354.0046237       1.0000       20.935       19.562    
  354.0092475       1.0000       20.837       19.310    
  354.0134996       1.0000       20.749       19.261    
  354.0183218       1.0000       20.654       19.208    
  354.0235101       1.0000       20.557       19.154    
  354.0295713       1.0000       20.448       19.093    
  354.0367419       1.0000       20.326       19.025    
  354.0460349       1.0000       20.180       18.944    
  354.0614279       1.0000       19.963       18.822    
  354.0775729       1.0000       19.760       18.709    
  354.0952766       1.0000       19.563       18.598    
  354.1128115       1.0000       19.391       18.501    
  354.1321496       1.0000       19.220       18.405    
  354.1529005       1.0000       19.059       18.314    
  354.1761510       1.0000       18.900       18.223    
  354.2021222       1.0000       18.811       18.242    
  354.2320602       1.0000       18.875       18.420    
  354.2670946       1.0000       18.974       18.502    
  354.3091523       1.0000       19.020       18.484    
  354.3610320       1.0000       19.014       18.441    
  354.4278502       1.0000       19.000       18.420    
  354.5178893       1.0000       18.998       18.409    
  354.6471901       1.0000       18.999       18.393    
  354.8514402       1.0000       18.999       18.366    
  355.0000000       1.0000       18.999       18.348    
  355.0000000       1.0000       18.999       18.348    
  355.0034017       1.0000       18.999       18.348    
  355.0068033       1.0000       18.999       18.347    
  355.0136067       1.0000       18.999       18.347    
  355.0272133       1.0000       18.999       18.345    
  355.0544267       1.0000       18.999       18.342    
  355.1088533       1.0000       18.999       18.337    
  355.2177067       1.0000       18.999       18.327    
  355.4354134       1.0000       18.999       18.309    
  355.8708268       1.0000       18.999       18.277    
  356.0000000       1.0000       18.999       18.268    
  356.0000000       1.0000       18.999       18.268    
  356.3483307       1.0000       18.999       18.247    
  356.6966614       1.0000       18.999       18.229    
  357.0000000       1.0000       18.999       18.215    
  357.0000000       1.0000       18.999       18.215    
  357.2786646       1.0000       18.999       18.203    
  357.5573291       1.0000       18.999       18.193    
  358.0000000       1.0000       18.999       18.178    
  358.0000000       1.0000       18.999       18.178    
  358.2229317       1.0000       19.000       18.171    
  358.4458633       1.0000       19.000       18.165    
  358.4664374       1.0000       19.000       18.165    
  358.5075855       1.0000       19.000       18.163    
  358.5075855       1.0000       19.000       18.163    
  358.6859308       1.0000       19.000       18.159    
  358.8642762       1.0000       19.000       18.154    
  359.0000000       1.0000       19.000       18.151    
  359.0000000       1.0000       19.000       18.151    
  359.1426763       1.0000       19.000       18.148    
  359.2853525       1.0000       19.000       18.145    
  359.5707050       1.0000       19.000       18.139    
  360.0000000       1.0000       19.000       18.131    
